row_label_raw,row_label_full,col_0,2016VND,2015VNDĐã điều chỉnh lại,numeric__2016VND,numeric__2015VNDĐã điều chỉnh lại
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
▪ Bán hàng,Tổng doanh thu > ▪ Bán hàng,▪ Bán hàng,14.934.496.499.262,14.622.004.102.668,14934496499262.0,14622004102668.0
▪ Cung cấp dịch vụ và gia công,Tổng doanh thu > ▪ Cung cấp dịch vụ và gia công,▪ Cung cấp dịch vụ và gia công,293.820.353.306,376.140.956.213,293820353306.0,376140956213.0
▪ Cho thuê lại đất thuê,Tổng doanh thu > ▪ Cho thuê lại đất thuê,▪ Cho thuê lại đất thuê,211.405.767.046,29.639.949.971,211405767046.0,29639949971.0
▪ Bán và cho thuê bất động sản,Tổng doanh thu > ▪ Bán và cho thuê bất động sản,▪ Bán và cho thuê bất động sản,46.597.490.027,178.162.282.924,46597490027.0,178162282924.0
,,,15.486.320.109.641,15.205.947.291.776,15486320109641.0,15205947291776.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,18.833.850.945,12.389.661.902,18833850945.0,12389661902.0
▪ Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,1.353.864.273,1.322.058.036,1353864273.0,1322058036.0
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,4.611.579.771,8.389.009.562,4611579771.0,8389009562.0
,,,24.799.294.989,22.100.729.500,24799294989.0,22100729500.0
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,15.461.520.814.652,15.183.846.562.276,15461520814652.0,15183846562276.0
