row_label_raw,row_label_full,col_0,2016VND,2015VNDĐã điều chỉnh lại,numeric__2016VND,numeric__2015VNDĐã điều chỉnh lại
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.326.835.437.886,266.093.397.264,1326835437886.0,266093397264.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.660.562.072.902,1.791.796.915.214,1660562072902.0,1791796915214.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.764.273.293.213),(553.157.666.067),-1764273293213.0,-553157666067.0
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(2.005.602.000),(221.250.000),-2005602000.0,-221250000.0
Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(5.595.710.019),-,-5595710019.0,
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(91.008.256.066),(45.074.818.401),-91008256066.0,-45074818401.0
Tăng do hợp nhất công ty con mới trong năm,Tăng do hợp nhất công ty con mới trong năm,Tăng do hợp nhất công ty con mới trong năm,12.499.147.993,-,12499147993.0,
Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(4.871.228.260),(127.727.285.278),-4871228260.0,-127727285278.0
Thanh lý,Thanh lý,Thanh lý,-,(4.873.854.846),,-4873854846.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.132.142.569.223,1.326.835.437.886,1132142569223.0,1326835437886.0
