row_label_raw,row_label_full,Năm 2015,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,6.092.279.245.048,9.091.567.317.228,15.183.846.562.276,6092279245048.0,9091567317228.0,15183846562276.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,839.848.651.068,1.044.763.667.854,1.884.612.318.922,839848651068.0,1044763667854.0,1884612318922.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,940.573.406.784,,,940573406784.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(2.231.002.026.964),,,-2231002026964.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,594.183.698.742,,,594183698742.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,215.996.634.857,,,215996634857.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(164.259.156.415),,,-164259156415.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(99.033.896.196),,,-99033896196.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,546.887.280.988,,,546887280988.0
,,,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tại ngày 1/1/2016,Tại ngày 1/1/2016,Tại ngày 1/1/2016,Tại ngày 1/1/2016,Tại ngày 1/1/2016,Tại ngày 1/1/2016,,,
Tải sản của bộ phận,Tại ngày 1/1/2016 > Tải sản của bộ phận,Tải sản của bộ phận,888.684.609.026,1.349.538.862.084,2.238.223.471.110,888684609026.0,1349538862084.0,2238223471110.0
Giá trị còn lại tài sản không phân bổ,Tại ngày 1/1/2016 > Giá trị còn lại tài sản không phân bổ,Giá trị còn lại tài sản không phân bổ,,,16.565.843.036.667,,,16565843036667.0
Tổng tài sản,Tại ngày 1/1/2016 > Tổng tài sản,Tổng tài sản,,,18.804.066.507.777,,,18804066507777.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2016 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,781.377.856.573,443.893.942.715,1.225.271.799.288,781377856573.0,443893942715.0,1225271799288.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2016 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,10.230.955.513.576,,,10230955513576.0
Tổng nợ phải trả,Tại ngày 1/1/2016 > Tổng nợ phải trả,Tổng nợ phải trả,,,11.456.227.312.864,,,11456227312864.0
