row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,906.504.249.097,3.834.415.666.574,144.529.469.133,39.892.727.827,52.342.279.559,4.977.684.392.190,906504249097.0,3834415666574.0,144529469133.0,39892727827.0,52342279559.0,4977684392190.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,114.096.186.455,412.508.838.100,25.774.541.609,7.076.257.770,15.933.604.327,575.389.428.261,114096186455.0,412508838100.0,25774541609.0,7076257770.0,15933604327.0,575389428261.0
Tăng do hợp nhất các công ty con mới trong năm,Giá trị hao mòn lũy kế > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,13.118.446.046,22.412.773.969,645.701.212,524.253.878,351.883.429,37.053.058.534,13118446046.0,22412773969.0,645701212.0,524253878.0,351883429.0,37053058534.0
Chuyển từ chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,-,3.942.980.985,-,-,-,3.942.980.985,,3942980985.0,,,,3942980985.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(650.261.497),-,(12.951.753),-,(663.213.250),,-650261497.0,,-12951753.0,,-663213250.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.604.702.173),-,-,-,-,(2.604.702.173),-2604702173.0,,,,,-2604702173.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(30.765.357.992),(171.239.633.013),(4.609.758.061),(1.980.792.986),(1.233.509.176),(209.829.051.228),-30765357992.0,-171239633013.0,-4609758061.0,-1980792986.0,-1233509176.0,-209829051228.0
Giảm do mất quyền kiểm soát tại các công ty con,Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(5.266.617.905),(25.001.446.590),(669.738.606),(495.783.673),(883.916.391),(32.317.503.165),-5266617905.0,-25001446590.0,-669738606.0,-495783673.0,-883916391.0,-32317503165.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(9.325.707.267),-,-,-,-,(9.325.707.267),-9325707267.0,,,,,-9325707267.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,859.591.961,(1.478.955.922),619.363.961,-,-,-,859591961.0,-1478955922.0,619363961.0,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,986.616.088.222,4.074.909.962.606,166.289.579.248,45.003.711.063,66.510.341.748,5.339.329.682.887,986616088222.0,4074909962606.0,166289579248.0,45003711063.0,66510341748.0,5339329682887.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.772.397.073.372,2.556.993.398.555,122.004.891.631,25.921.452.427,69.975.601.370,4.547.292.417.355,1772397073372.0,2556993398555.0,122004891631.0,25921452427.0,69975601370.0,4547292417355.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.967.115.480.834,3.515.954.924.984,124.740.045.805,35.575.647.392,74.554.390.515,5.717.940.489.530,1967115480834.0,3515954924984.0,124740045805.0,35575647392.0,74554390515.0,5717940489530.0
