row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2016,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2016,Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo mệnh giá và giá gốc khoản đầu tư VND > 31/12/2016,Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo mệnh giá và giá gốc khoản đầu tư VND > 1/1/2016,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mệnh giá và giá gốc khoản đầu tư VND > 31/12/2016,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mệnh giá và giá gốc khoản đầu tư VND > 1/1/2016,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2016,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2016,numeric__Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo mệnh giá và giá gốc khoản đầu tư VND > 31/12/2016,numeric__Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo mệnh giá và giá gốc khoản đầu tư VND > 1/1/2016,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mệnh giá và giá gốc khoản đầu tư VND > 31/12/2016,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mệnh giá và giá gốc khoản đầu tư VND > 1/1/2016
1,1,1,Công ty TNHH MTV Đệt 8-3 (i),-,100%,-,173.199.296.963,-,-,,,1.0,,173199296963.0,,
2,2,2,Công ty TNHH MTV Đệt kim Đông Xuân,100%,100%,115.191.925.340,115.191.925.340,-,-,,1.0,1.0,115191925340.0,115191925340.0,,
3,3,3,Công ty TNHH MTV Đệt kim Đông Phương,100%,100%,164.474.782.024,164.474.782.024,-,-,,1.0,1.0,164474782024.0,164474782024.0,,
4,4,4,Công ty CP Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,"80,95%","80,95%",29.337.000.000,29.337.000.000,17.762.279.263,17.762.279.263,,0.8095,0.8095,29337000000.0,29337000000.0,17762279263.0,17762279263.0
5,5,5,Công ty CP Sợi Phú Bài,"66,51%","66,51%",26.922.700.000,26.922.700.000,11.081.560.000,11.081.560.000,,0.6651,0.6651,26922700000.0,26922700000.0,11081560000.0,11081560000.0
6,6,6,Công ty CP Phát Triển Hạ tầng Đệt May Phố Nói,"51,00%","51,00%",40.800.000.000,40.800.000.000,-,-,,0.51,0.51,40800000000.0,40800000000.0,,
7,7,7,Tổng Công ty CP Đệt May Hoà Thọ (ii),"64,96%","68,21%",107.424.820.000,107.424.820.000,-,-,,0.6496,0.6820999999999999,107424820000.0,107424820000.0,,
8,8,8,Công ty CP Len Việt Nam,"68,77%","68,77%",27.531.200.000,27.531.200.000,1.300.000.000,1.300.000.000,,0.6877,0.6877,27531200000.0,27531200000.0,1300000000.0,1300000000.0
9,9,9,Công ty CP Sản xuất XNK Đệt May,"68,34%","68,34%",29.250.000.000,29.250.000.000,-,-,,0.6834,0.6834,29250000000.0,29250000000.0,,
10,10,10,Công ty CP Đệt May Huế (ii),"63,90%","65,54%",63.898.240.000,32.768.330.000,-,-,,0.639,0.6554000000000001,63898240000.0,32768330000.0,,
11,11,11,Tổng Công ty CP Đệt May Hà Nội (i),-,"57,57%",-,118.026.000.000,-,-,,,0.5757,,118026000000.0,,
12,12,12,Tổng Công ty CP Đệt May Nam Định,"53,67%","53,67%",72.997.000.000,72.997.000.000,-,-,,0.5367000000000001,0.5367000000000001,72997000000.0,72997000000.0,,
13,13,13,Công ty CP Bông Việt Nam,"55,00%","55,00%",27.500.000.000,27.500.000.000,-,-,,0.55,0.55,27500000000.0,27500000000.0,,
14,14,14,Công ty CP Đầu tư Phát triển Vinatex,"51,00%","51,00%",37.275.000.000,37.275.000.000,-,-,,0.51,0.51,37275000000.0,37275000000.0,,
15,15,15,Công ty CP Vinatex Hồng Lĩnh (i),-,"68,86%",-,37.200.000.000,-,33.000.000.000,,,0.6886,,37200000000.0,,33000000000.0
16,16,16,Tổng Công ty CP Phong Phú,"51,00%","51,00%",374.087.960.000,374.087.960.000,-,-,,0.51,0.51,374087960000.0,374087960000.0,,
17,17,17,Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex (iii),100%,-,462.017.209.402,-,-,-,,1.0,,462017209402.0,,,
18,18,18,Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex (iii),100%,-,202.568.027.281,-,-,-,,1.0,,202568027281.0,,,
