row_label_raw,row_label_full,Đơn vị nhận bảo lãnh,Giá trị còn phải bảo lãnh tại ngày 31 tháng 12 năm 2017,numeric__Giá trị còn phải bảo lãnh tại ngày 31 tháng 12 năm 2017
,,,VND,
Công ty Cổ phần Thủy điện Hùa Na,Công ty Cổ phần Thủy điện Hùa Na,Công ty Cổ phần Thủy điện Hùa Na,621.167.494.122,621167494122.0
Công ty Cổ phần Điện lực Dầu khí Bắc Kạn,Công ty Cổ phần Điện lực Dầu khí Bắc Kạn,Công ty Cổ phần Điện lực Dầu khí Bắc Kạn,16.245.978.957,16245978957.0
,,,637.413.473.079,637413473079.0
