row_label_raw,row_label_full,Các khoản vay tài trợ cho Nhà máy Nhiệt điện Vũng Ảng nhận bản giao từ Tập đoàn Dầu khí Việt Nam (i),Số cuối nămVND > 11.450.214.577.237,Số đầu nămVND > 14.411.475.537.982,numeric__Số cuối nămVND > 11.450.214.577.237,numeric__Số đầu nămVND > 14.411.475.537.982
Ngân hàng Citibank,Ngân hàng Citibank,Ngân hàng Citibank,3.697.772.593.187,4.461.298.558.270,3697772593187.0,4461298558270.0
Ngân hàng Credit Agricole Corporate and Investment,Ngân hàng Credit Agricole Corporate and Investment,Ngân hàng Credit Agricole Corporate and Investment,2.913.711.661.555,3.370.133.333.258,2913711661555.0,3370133333258.0
Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,1.868.440.226.086,2.038.298.426.086,1868440226086.0,2038298426086.0
Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,1.472.339.106.579,1.588.192.734.484,1472339106579.0,1588192734484.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,1.237.514.993.619,1.859.282.752.702,1237514993619.0,1859282752702.0
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,843.129.639.967,922.110.846.935,843129639967.0,922110846935.0
Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,432.484.560.000,352.889.944.699,432484560000.0,352889944699.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,306.729.952.784,315.906.976.392,306729952784.0,315906976392.0
Ngân hàng Credit Agricole CIB,Ngân hàng Credit Agricole CIB,Ngân hàng Credit Agricole CIB,263.480.625.000,528.240.000.000,263480625000.0,528240000000.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,233.703.118.976,269.655.118.976,233703118976.0,269655118976.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,17.240.771.471,194.046.933.097,17240771471.0,194046933097.0
Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh,-,109.079.836.225,,109079836225.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,880.390.000,1.070.065.000,880390000.0,1070065000.0
,,,24.737.642.216.461,30.421.681.064.106,24737642216461.0,30421681064106.0
Trừ: số phải trả trong vòng 12 tháng(được trình bày ở phân vay và nợ ngắn hạn),Trừ: số phải trả trong vòng 12 tháng(được trình bày ở phân vay và nợ ngắn hạn),Trừ: số phải trả trong vòng 12 tháng(được trình bày ở phân vay và nợ ngắn hạn),5.959.085.181.465,5.752.830.032.679,5959085181465.0,5752830032679.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,18.778.557.034.996,24.668.851.031.427,18778557034996.0,24668851031427.0
