row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrà nợVND,Phát sinh trong năm > TăngVND,Phát sinh trong năm > GiảmVND,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrà nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrà nợVND,numeric__Phát sinh trong năm > TăngVND,numeric__Phát sinh trong năm > GiảmVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrà nợVND
Vay dài hạn,Vay dài hạn,Vay dài hạn,30.421.681.064.106,30.421.681.064.106,391.243.270.499,6.075.282.118.144,24.737.642.216.461,24.737.642.216.461,30421681064106.0,30421681064106.0,391243270499.0,6075282118144.0,24737642216461.0,24737642216461.0
,,,30.421.681.064.106,30.421.681.064.106,391.243.270.499,6.075.282.118.144,24.737.642.216.461,24.737.642.216.461,30421681064106.0,30421681064106.0,391243270499.0,6075282118144.0,24737642216461.0,24737642216461.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Số phải trả trong vòng 12 tháng,Trong đó: > Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,5.752.830.032.679,,,,5.959.085.181.465,,5752830032679.0,,,,5959085181465.0,
Số phải trả sau 12 tháng,Trong đó: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,24.668.851.031.427,,,,18.778.557.034.996,,24668851031427.0,,,,18778557034996.0,
