row_label_raw,row_label_full,NGUEFN GJA,NGUEFN GJA_1,NGUEFN GJA_2,NGUEFN GJA_3,NGUEFN GJA_4,numeric__NGUEFN GJA_1,numeric__NGUEFN GJA_2,numeric__NGUEFN GJA_3,numeric__NGUEFN GJA_4
5d du dau nám,5d du dau nám,5d du dau nám,52.995.123.339,38.915.305.082,91.910.428.421,Chng,52995123339.0,38915305082.0,91910428421.0,
Mlua sām mǎi,Mlua sām mǎi,Mlua sām mǎi,2.824.514.230,702.297.000,3.526.811.230,,2824514230.0,702297000.0,3526811230.0,
"Thanh IY, nhüyng bān","Thanh IY, nhüyng bān","Thanh IY, nhüyng bān",-,(365.000.000),(365.000.000),,,-365000000.0,-365000000.0,
5s du coul nám,5s du coul nám,5s du coul nám,55.819.637.569,39.252.602.082,95.072.239.651,,55819637569.0,39252602082.0,95072239651.0,
GJA TRÍ HAO M∅N LUY KEG,GJA TRÍ HAO M∅N LUY KEG,GJA TRÍ HAO M∅N LUY KEG,GJA TRÍ HAO M∅N LUY KEG,GJA TRÍ HAO M∅N LUY KEG,GJA TRÍ HAO M∅N LUY KEG,GJA TRÍ HAO M∅N LUY KEG,,,,
5s du dau nám,GJA TRÍ HAO M∅N LUY KEG > 5s du dau nám,5s du dau nám,-,23.943.610.889,23.943.610.889,,,23943610889.0,23943610889.0,
Thanh khuú hao trong nám,GJA TRÍ HAO M∅N LUY KEG > Thanh khuú hao trong nám,Thanh khuú hao trong nám,-,5.236.462.309,5.965.984.591,,,5236462309.0,5965984591.0,
5s du coul nám,GJA TRÍ HAO M∅N LUY KEG > 5s du coul nám,5s du coul nám,729.522.282,28.815.073.198,29.544.595.480,,729522282.0,28815073198.0,29544595480.0,
GJA TRÍ COn LAI,GJA TRÍ COn LAI,GJA TRÍ COn LAI,GJA TRÍ COn LAI,GJA TRÍ COn LAI,GJA TRÍ COn LAI,GJA TRÍ COn LAI,,,,
Tal ngay dau nám,GJA TRÍ COn LAI > Tal ngay dau nám,Tal ngay dau nám,52.995.123.339,14.971.694.193,67.966.877.532,,52995123339.0,14971694193.0,67966877532.0,
Tal ngay coul nám,GJA TRÍ COn LAI > Tal ngay coul nám,Tal ngay coul nám,55.090.115.287,10.437.528.884,65.527.644.171,,55090115287.0,10437528884.0,65527644171.0,
