row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả ngVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả ngVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả ngVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả ngVND
a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,a) Các khoản phải trả người bán ngắn hạn,,,,
Siemens Aktiengesellschaft (i),a) Các khoản phải trả người bán ngắn hạn > Siemens Aktiengesellschaft (i),Siemens Aktiengesellschaft (i),2.490.704.336.020,2.490.704.336.020,2.485.012.443.931,2.485.012.443.931,2490704336020.0,2490704336020.0,2485012443931.0,2485012443931.0
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,a) Các khoản phải trả người bán ngắn hạn > Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,320.868.161.825,320.868.161.825,54.488.893.679,54.488.893.679,320868161825.0,320868161825.0,54488893679.0,54488893679.0
General Electric Global Parts and Product GMBH,a) Các khoản phải trả người bán ngắn hạn > General Electric Global Parts and Product GMBH,General Electric Global Parts and Product GMBH,176.936.914.435,176.936.914.435,-,-,176936914435.0,176936914435.0,,
Tổng Công ty Xây dựng và Phát triển Hạ tầng,a) Các khoản phải trả người bán ngắn hạn > Tổng Công ty Xây dựng và Phát triển Hạ tầng,Tổng Công ty Xây dựng và Phát triển Hạ tầng,96.450.771.738,96.450.771.738,122.937.577.324,122.937.577.324,96450771738.0,96450771738.0,122937577324.0,122937577324.0
Tổng Công ty Sông Đà,a) Các khoản phải trả người bán ngắn hạn > Tổng Công ty Sông Đà,Tổng Công ty Sông Đà,73.205.222.023,73.205.222.023,79.717.032.931,79.717.032.931,73205222023.0,73205222023.0,79717032931.0,79717032931.0
Tổng Công ty Lắp máy Việt Nam,a) Các khoản phải trả người bán ngắn hạn > Tổng Công ty Lắp máy Việt Nam,Tổng Công ty Lắp máy Việt Nam,32.300.822.607,32.300.822.607,38.131.385.328,38.131.385.328,32300822607.0,32300822607.0,38131385328.0,38131385328.0
Các nhà cung cấp khác,a) Các khoản phải trả người bán ngắn hạn > Các nhà cung cấp khác,Các nhà cung cấp khác,609.259.392.500,609.259.392.500,449.776.878.250,449.776.878.250,609259392500.0,609259392500.0,449776878250.0,449776878250.0
b) Phải trả người bán là các bên liên quan(trình bày tại Thuyết minh số 35),a) Các khoản phải trả người bán ngắn hạn > b) Phải trả người bán là các bên liên quan(trình bày tại Thuyết minh số 35),b) Phải trả người bán là các bên liên quan(trình bày tại Thuyết minh số 35),1.241.362.706.255,1.241.362.706.255,2.938.713.069.345,2.938.713.069.345,1241362706255.0,1241362706255.0,2938713069345.0,2938713069345.0
,,,5.041.088.327.403,5.041.088.327.403,6.168.777.280.788,6.168.777.280.788,5041088327403.0,5041088327403.0,6168777280788.0,6168777280788.0
