row_label_raw,row_label_full,"Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","Số cuối năm > Giá gốcVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","Số cuối năm > Giá trị có thể thu hồiVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","Số đầu năm > Giá gốcVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","Số đầu năm > Giá trị có thể thu hồiVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__Số cuối năm > Giá gốcVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__Số cuối năm > Giá trị có thể thu hồiVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__Số đầu năm > Giá gốcVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__Số đầu năm > Giá trị có thể thu hồiVND > Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi"
Công ty Cổ phần Xuất nhập khẩu Tân Hồng (*),Công ty Cổ phần Xuất nhập khẩu Tân Hồng (*),Công ty Cổ phần Xuất nhập khẩu Tân Hồng (*),96.856.865.496,26.151.353.684,96.856.865.496,67.799.805.847,96856865496.0,26151353684.0,96856865496.0,67799805847.0
Công ty Cổ phần Tập đoàn Vina Megastar (*),Công ty Cổ phần Tập đoàn Vina Megastar (*),Công ty Cổ phần Tập đoàn Vina Megastar (*),33.627.654.160,-,33.627.654.160,-,33627654160.0,,33627654160.0,
Công ty TNHH Thành Đức (*),Công ty TNHH Thành Đức (*),Công ty TNHH Thành Đức (*),20.394.119.114,-,21.344.119.114,-,20394119114.0,,21344119114.0,
Công ty Cổ phần Thương mại - Xuất nhập khẩu D&T (*),Công ty Cổ phần Thương mại - Xuất nhập khẩu D&T (*),Công ty Cổ phần Thương mại - Xuất nhập khẩu D&T (*),15.485.149.669,-,16.985.149.669,-,15485149669.0,,16985149669.0,
Công ty Cổ phần Xây lắp Dầu khí IMICO (*),Công ty Cổ phần Xây lắp Dầu khí IMICO (*),Công ty Cổ phần Xây lắp Dầu khí IMICO (*),15.381.516.087,-,15.381.516.087,4.614.454.826,15381516087.0,,15381516087.0,4614454826.0
Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,8.192.395.731,1.042.185.820,11.161.659.616,918.398.666,8192395731.0,1042185820.0,11161659616.0,918398666.0
Công ty Cổ phần Xây lắp Dầu khí Miễn Trung,Công ty Cổ phần Xây lắp Dầu khí Miễn Trung,Công ty Cổ phần Xây lắp Dầu khí Miễn Trung,7.045.317.471,-,7.045.317.471,-,7045317471.0,,7045317471.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,102.609.100.073,51.595.297.365,66.795.146.558,17.841.892.613,102609100073.0,51595297365.0,66795146558.0,17841892613.0
,,,299.592.117.801,78.788.836.869,269.197.428.171,91.174.551.952,299592117801.0,78788836869.0,269197428171.0,91174551952.0
