row_label_raw,row_label_full,Mg Thuyet ss mth,Nam nay,Nam truoc,numeric__Nam nay,numeric__Nam truoc
01,01,01,26,"29,710,052,035,602",26.0,
02,02,02,,-,,
10,10,10,"29,710,052,035,602","28,211,770,378,167",,
11,10 > 11,11,27,"24,787,388,453,150",27.0,
20,20,20,"4,922,663,583,452","3,782,549,865,706",,
21,20 > 21,21,29,"413,926,173,797",29.0,
22,20 > 22,22,30,"1,806,019,642,897",30.0,
23,23,23,"1,351,358,403,426","1,323,955,485,995",,
24,24,24,"22,313,070,373","14,601,157,653",,
25,24 > 25,25,31,"16,218,414,052",31.0,
26,24 > 26,26,31,"799,216,104,000",31.0,
25,24 > 25,25,31,"17,072,384,265",31.0,
26,24 > 26,26,31,"738,773,511,955",31.0,
27,24 > 27,27,33,"23,818,968,479",33.0,
28,28,28,"211,760,241,077",,,
29,28 > 29,29,21,"10,137,090",21.0,
30,30,30,"2,737,448,666,673","1,701,474,054,631",,
31,30 > 31,31,32,"19,839,680,725",32.0,
32,30 > 32,32,33,"23,818,968,479",33.0,
31,30 > 31,31,32,"(6,103,561,525)",32.0,
40,40,40,"(3,979,287,754)","(6,103,561,525)",,
51,40 > 51,51,34,"137,776,907,163",34.0,
52,40 > 52,52,52,"(5,996,129,168)",52.0,
51,40 > 51,51,34,"165,502,040,561",34.0,
60,60,60,"2,601,688,600,924","1,517,484,971,700",,
61,61,61,"2,233,257,050,991","1,074,882,442,871",,
62,62,62,"2,233,257,050,991","368,431,549,933",,
