row_label_raw,row_label_full,Ông Nguyễn Xuân Hòa,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Hoàng Văn Nghiệp,Ông Hoàng Văn Nghiệp,Ông Hoàng Văn Nghiệp,Phó Tổng Giám đốc,
Bà Nguyễn Thị Ngọc Bích,Bà Nguyễn Thị Ngọc Bích,Bà Nguyễn Thị Ngọc Bích,Phó Tổng Giám đốc,
Ông Phạm Xuân Trường,Ông Phạm Xuân Trường,Ông Phạm Xuân Trường,Phó Tổng Giám đốc,
Ông Nguyễn Duy Giang,Ông Nguyễn Duy Giang,Ông Nguyễn Duy Giang,Phó Tổng Giám đốc,
Ông Nguyễn Mạnh Tường,Ông Nguyễn Mạnh Tường,Ông Nguyễn Mạnh Tường,Phó Tổng Giám đốc (bố nhiệm ngày 31 tháng 5 năm 2017),
