row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm
,,,VND,VND,VND,,,
Tín chấp,Tín chấp,Tín chấp,2.712.450.256.053,2.712.450.256.053,3.242.439.401.072,2712450256053.0,2712450256053.0,3242439401072.0
Bảo lãnh của bên thứ ba,Bảo lãnh của bên thứ ba,Bảo lãnh của bên thứ ba,19.561.700.689.078,19.561.700.689.078,24.630.430.182.212,19561700689078.0,19561700689078.0,24630430182212.0
Bảo đảm bằng tài sản,Bảo đảm bằng tài sản,Bảo đảm bằng tài sản,2.463.491.271.330,2.463.491.271.330,2.548.811.480.822,2463491271330.0,2463491271330.0,2548811480822.0
,,,24.737.642.216.461,24.737.642.216.461,30.421.681.064.106,24737642216461.0,24737642216461.0,30421681064106.0
