row_label_raw,row_label_full,CHI TIJEU,Mg.5g > Ma 5g,Nam.nay,Nam.tru#c,numeric__Mg.5g > Ma 5g,numeric__Nam.nay,numeric__Nam.tru#c
1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU,,,
2. Breu chin the cae khoan:,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > 2. Breu chin the cae khoan:,2. Breu chin the cae khoan:,01,"2,733,469,378,919","1,695,643,493,106",1.0,,
1. Lof nihuan trudce thiue,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > 1. Lof nihuan trudce thiue,1. Lof nihuan trudce thiue,03,03,"187,732,058,669",3.0,3.0,
Cac khoan du fining,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Cac khoan du fining,Cac khoan du fining,05,10,"38,739,307,665",5.0,10.0,
Cic phil Isl iay,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Cic phil Isl iay,Cic phil Isl iay,06,11,"1,351,358,403,426",6.0,11.0,
Cac khoan diu chin khae,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Cac khoan diu chin khae,Cac khoan diu chin khae,07,12,"(27,87,27,248,992)",7.0,12.0,
Cic phil Isl iay,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Cic phil Isl iay,Cic phil Isl iay,08,13,"(1,345,435,948,474)",8.0,13.0,
Thay ddi hang to hio,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thay ddi hang to hio,Thay ddi hang to hio,09,14,"(1,351,190,688,223)",9.0,14.0,
Thay ddi cac khoan phat thu,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thay ddi cac khoan phat thu,Thay ddi cac khoan phat thu,10,15,"(85,956,541,782)",10.0,15.0,
Thay ddi cac khoan phat tiu,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thay ddi cac khoan phat tiu,Thay ddi cac khoan phat tiu,11,16,"(3,929,913,630,330)",11.0,16.0,
Gian cam phil tria tru#c,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Gian cam phil tria tru#c,Gian cam phil tria tru#c,12,17,"(271,295,383)",12.0,17.0,
Thun tui khae tv hoort dang kinh doanh,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thun tui khae tv hoort dang kinh doanh,Thun tui khae tv hoort dang kinh doanh,13,18,"(190,259,680,866)",13.0,18.0,
Thuut tui nagp daonah nigripip da dopf,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thuut tui nagp daonah nigripip da dopf,Thuut tui nagp daonah nigripip da dopf,14,19,"(421,516,253,470)",14.0,19.0,
Thun tui khae tv hoort dang kinh doanh,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thun tui khae tv hoort dang kinh doanh,Thun tui khae tv hoort dang kinh doanh,15,20,"(80,000,000,000)",15.0,20.0,
Thun tui hanh tv yar va mua cang cu ny cula dan yi khae,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > Thun tui hanh tv yar va mua cang cu ny cula dan yi khae,Thun tui hanh tv yar va mua cang cu ny cula dan yi khae,23,26,"(1,133,474,245,522)",23.0,26.0,
3. Thin chi cho way va mua cang cu ny cula dan yi khae,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > 3. Thin chi cho way va mua cang cu ny cula dan yi khae,3. Thin chi cho way va mua cang cu ny cula dan yi khae,24,27,"128,994,738,607",24.0,27.0,
"4. Thin tui hoi ov vy, bhan lai cac cang cu ny cula dan yi khae","1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > 4. Thin tui hoi ov vy, bhan lai cac cang cu ny cula dan yi khae","4. Thin tui hoi ov vy, bhan lai cac cang cu ny cula dan yi khae",25,-,"(6,857,349,559,332)",25.0,,
5. Thin tui hoi dau tv gdp van ivo cac don vi khae,1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > 5. Thin tui hoi dau tv gdp van ivo cac don vi khae,5. Thin tui hoi dau tv gdp van ivo cac don vi khae,26,36,"(80,000,000,000)",26.0,36.0,
"6. Lel tien gunl, cd toc va ir lor hnuhain dungc chia","1. LUU CHUYEN TIEN TY HOART BONG KINH DOANHU > 6. Lel tien gunl, cd toc va ir lor hnuhain dungc chia","6. Lel tien gunl, cd toc va ir lor hnuhain dungc chia",27,"253,151,494,410","320,375,094,686",27.0,,
Liu CHUYEN TIEN TY HOART BONG TAI CHINH,Liu CHUYEN TIEN TY HOART BONG TAI CHINH,Liu CHUYEN TIEN TY HOART BONG TAI CHINH,Liu CHUYEN TIEN TY HOART BONG TAI CHINH,Liu CHUYEN TIEN TY HOART BONG TAI CHINH,Liu CHUYEN TIEN TY HOART BONG TAI CHINH,,,
I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH,,,
2. Thin tui tn hanh von gon gop cula cnd sd hlu,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH > 2. Thin tui tn hanh von gon gop cula cnd sd hlu,2. Thin tui tn hanh von gon gop cula cnd sd hlu,31,"314,426,772,700","3,510,572,881,334",31.0,,
2. Thin tui tv inhan von gon gop cula cnd sd hlu,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH > 2. Thin tui tv inhan von gon gop cula cnd sd hlu,2. Thin tui tv inhan von gon gop cula cnd sd hlu,33,"311,426,772,700","(1,563,073,962,831)",33.0,,
3. Thin tui tv di ay,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH > 3. Thin tui tv di ay,3. Thin tui tv di ay,34,"(6,237,843,822,183)","(6,857,349,559,332)",34.0,,
2. Thin tui tv di ay,I. Llu CHUYEN TIEN TY HOART BONG TAI CHINH > 2. Thin tui tv di ay,2. Thin tui tv di ay,37,"(1,563,073,962,831)","(429,673,679,616)",37.0,,
