row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,10.492.082.325.453,8.973.381.914.971,10492082325453.0,8973381914971.0
Các khoản điều chỉnh tăng thu nhập chịu thuế,Các khoản điều chỉnh tăng thu nhập chịu thuế,Các khoản điều chỉnh tăng thu nhập chịu thuế,2.159.562.331.382,815.307.355.680,2159562331382.0,815307355680.0
Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,62.157.142.821,45.520.821.686,62157142821.0,45520821686.0
Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,73.876.043.909,62.898.447.295,73876043909.0,62898447295.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,1.241.918.463,13.079.306.432,1241918463.0,13079306432.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiên và các khoản phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiên và các khoản phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiên và các khoản phải thu có gốc ngoại tệ,1.355.435.036,14.638.669.846,1355435036.0,14638669846.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,2.015.521.409.658,674.558.212.687,2015521409658.0,674558212687.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,420.085.565,3.582.407.572,420085565.0,3582407572.0
Chi phí loại trừ khi tính thuế,Chi phí loại trừ khi tính thuế,Chi phí loại trừ khi tính thuế,4.990.295.930,1.029.490.162,4990295930.0,1029490162.0
Các khoản điều chỉnh giảm thu nhập chịu thuế,Các khoản điều chỉnh giảm thu nhập chịu thuế,Các khoản điều chỉnh giảm thu nhập chịu thuế,(827.397.241.986),(112.008.263.240),-827397241986.0,-112008263240.0
Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,Khấu hao tài sản cố định tạm tăng,(45.520.821.686),(45.629.554.938),-45520821686.0,-45629554938.0
Chi phí thuê đất,Chi phí thuê đất,Chi phí thuê đất,(62.898.447.295),(46.460.104.673),-62898447295.0,-46460104673.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,(13.786.806.432),-,-13786806432.0,
Hoàn nhập lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiên và các khoản phải thu có gốc ngoại tệ,Hoàn nhập lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiên và các khoản phải thu có gốc ngoại tệ,Hoàn nhập lỗ chênh lệch tỷ giá hối đoái do đánh giá lại tiên và các khoản phải thu có gốc ngoại tệ,(14.638.669.846),(5.915.104.618),-14638669846.0,-5915104618.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(674.558.212.687),-,-674558212687.0,
Lỗ năm trước chuyển sang từ công ty con,Lỗ năm trước chuyển sang từ công ty con,Lỗ năm trước chuyển sang từ công ty con,(15.994.284.040),(14.003.499.011),-15994284040.0,-14003499011.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(385.208.642.502),(282.402.490.416),-385208642502.0,-282402490416.0
Thu nhập chịu thuế năm hiện hành,Thu nhập chịu thuế năm hiện hành,Thu nhập chịu thuế năm hiện hành,11.439.038.772.347,9.394.278.516.995,11439038772347.0,9394278516995.0
Thu nhập chịu thuế suất thông thường 20%,Thu nhập chịu thuế suất thông thường 20%,Thu nhập chịu thuế suất thông thường 20%,11.439.038.772.347,9.394.278.516.995,11439038772347.0,9394278516995.0
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,2.287.807.754.469,1.878.855.703.399,2287807754469.0,1878855703399.0
