row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
a. Doanh thu dịch vụ hàng không,Trong đó: > a. Doanh thu dịch vụ hàng không,a. Doanh thu dịch vụ hàng không,16.415.954.041.583,11.527.055.496.557,16415954041583.0,11527055496557.0
- Doanh thu phục vụ hành khách,Trong đó: > - Doanh thu phục vụ hành khách,- Doanh thu phục vụ hành khách,9.529.250.071.373,6.189.766.543.293,9529250071373.0,6189766543293.0
- Doanh thu dịch vụ hạ cắt cánh,Trong đó: > - Doanh thu dịch vụ hạ cắt cánh,- Doanh thu dịch vụ hạ cắt cánh,2.570.631.435.886,2.139.081.625.010,2570631435886.0,2139081625010.0
"- Doanh thu soi chiếu an ninh hành khách,hành lý","Trong đó: > - Doanh thu soi chiếu an ninh hành khách,hành lý","- Doanh thu soi chiếu an ninh hành khách,hành lý",1.426.809.347.004,1.015.524.022.311,1426809347004.0,1015524022311.0
- Doanh thu phục vụ mặt đất cơ bản/trọn gói,Trong đó: > - Doanh thu phục vụ mặt đất cơ bản/trọn gói,- Doanh thu phục vụ mặt đất cơ bản/trọn gói,491.269.231.102,528.966.826.428,491269231102.0,528966826428.0
- Doanh thu các dịch vụ hàng không khác,Trong đó: > - Doanh thu các dịch vụ hàng không khác,- Doanh thu các dịch vụ hàng không khác,2.397.993.956.218,1.653.716.479.515,2397993956218.0,1653716479515.0
b. Doanh thu dịch vụ phi hàng không,Trong đó: > b. Doanh thu dịch vụ phi hàng không,b. Doanh thu dịch vụ phi hàng không,2.497.025.391.646,1.674.322.415.052,2497025391646.0,1674322415052.0
- Doanh thu cho thuê mặt bằng,Trong đó: > - Doanh thu cho thuê mặt bằng,- Doanh thu cho thuê mặt bằng,1.276.402.011.336,682.481.493.171,1276402011336.0,682481493171.0
- Doanh thu dịch vụ sử dụng hạ tầng nội cảng,Trong đó: > - Doanh thu dịch vụ sử dụng hạ tầng nội cảng,- Doanh thu dịch vụ sử dụng hạ tầng nội cảng,583.509.473.824,444.242.696.485,583509473824.0,444242696485.0
- Doanh thu cho thuê quảng cáo,Trong đó: > - Doanh thu cho thuê quảng cáo,- Doanh thu cho thuê quảng cáo,301.141.309.474,262.611.545.708,301141309474.0,262611545708.0
- Doanh thu dịch vụ cung cấp tiện ích,Trong đó: > - Doanh thu dịch vụ cung cấp tiện ích,- Doanh thu dịch vụ cung cấp tiện ích,147.530.184.188,101.463.452.597,147530184188.0,101463452597.0
"- Doanh thu phục vụ khách VIP, F, C","Trong đó: > - Doanh thu phục vụ khách VIP, F, C","- Doanh thu phục vụ khách VIP, F, C",95.666.672.884,101.009.852.505,95666672884.0,101009852505.0
- Doanh thu phi hàng không khác,Trong đó: > - Doanh thu phi hàng không khác,- Doanh thu phi hàng không khác,92.775.739.940,82.513.374.586,92775739940.0,82513374586.0
c. Doanh thu bán hàng,Trong đó: > c. Doanh thu bán hàng,c. Doanh thu bán hàng,1.189.521.508.979,696.528.534.786,1189521508979.0,696528534786.0
,,,20.102.500.942.208,13.897.906.446.395,20102500942208.0,13897906446395.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,(104.358.523.579),(93.004.251.434),-104358523579.0,-93004251434.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,
Doanh thu cung cấp dịch vụ,Doanh thu thuần > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,18.808.620.909.650,13.108.373.660.175,18808620909650.0,13108373660175.0
Doanh thu bán hàng,Doanh thu thuần > Doanh thu bán hàng,Doanh thu bán hàng,1.189.521.508.979,696.528.534.786,1189521508979.0,696528534786.0
,,,19.998.142.418.629,13.804.902.194.961,19998142418629.0,13804902194961.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên liên quan(Thuyết minh số 37),Trong đó: > Doanh thu với các bên liên quan(Thuyết minh số 37),Doanh thu với các bên liên quan(Thuyết minh số 37),743.937.449.170,404.153.308.631,743937449170.0,404153308631.0
