row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,,
Số dư đầu năm trước,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số dư đầu năm trước,Số dư đầu năm trước,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.792.696.331.399,41.985.433.959,37.652.691.877.590,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9792696331399.0,41985433959.0,37652691877590.0
Lợi nhuận trong năm (Trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận trong năm (Trình bày lại),Lợi nhuận trong năm (Trình bày lại),-,-,-,-,6.337.575.237.703,5.538.999.343,6.343.114.237.046,,,,,6337575237703.0,5538999343.0,6343114237046.0
"Trích quỹ khen thưởng, phúc lợi (Trình bày lại)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Trích quỹ khen thưởng, phúc lợi (Trình bày lại)","Trích quỹ khen thưởng, phúc lợi (Trình bày lại)",-,-,-,-,(87.775.580.421),-,(87.775.580.421),,,,,-87775580421.0,,-87775580421.0
Trích quỹ thưởng ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,(1.115.163.000),-,(1.115.163.000),,,,,-1115163000.0,,-1115163000.0
Số dư cuối năm trước (Trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,16.041.380.825.681,47.524.433.302,43.906.915.371.215,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,16041380825681.0,47524433302.0,43906915371215.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,,
Số dư đầu năm (Trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,16.041.380.825.681,47.524.433.302,43.906.915.371.215,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,16041380825681.0,47524433302.0,43906915371215.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,7.222.286.069.558,10.004.322.035,7.232.290.391.593,,,,,7222286069558.0,10004322035.0,7232290391593.0
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(718.486.306.678),(2.246.271.118),(720.732.577.796),,,,,-718486306678.0,-2246271118.0,-720732577796.0
Trích quỹ thưởng ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,(2.829.352.500),-,(2.829.352.500),,,,,-2829352500.0,,-2829352500.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(2.000.000.000),(2.000.000.000),,,,,,-2000000000.0,-2000000000.0
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số dư cuối năm,Số dư cuối năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,22.542.351.236.061,53.282.484.219,50.413.643.832.512,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,22542351236061.0,53282484219.0,50413643832512.0
