row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn","a. Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",84.802.251.030,99.758.268.374,84802251030.0,99758268374.0
Thuế thu nhập cá nhân phải hoàn trả cho người lao động,a. Ngắn hạn > Thuế thu nhập cá nhân phải hoàn trả cho người lao động,Thuế thu nhập cá nhân phải hoàn trả cho người lao động,71.675.163.404,78.214.789.568,71675163404.0,78214789568.0
Phí nhượng quyền khai thác cảng hàng không,a. Ngắn hạn > Phí nhượng quyền khai thác cảng hàng không,Phí nhượng quyền khai thác cảng hàng không,16.733.551.500,18.907.065.000,16733551500.0,18907065000.0
Kinh phí công đoàn,a. Ngắn hạn > Kinh phí công đoàn,Kinh phí công đoàn,2.994.171.055,6.066.945.103,2994171055.0,6066945103.0
Chênh lệch còn lại từ hoạt động khai thác tài sản KCHTHK,a. Ngắn hạn > Chênh lệch còn lại từ hoạt động khai thác tài sản KCHTHK,Chênh lệch còn lại từ hoạt động khai thác tài sản KCHTHK,,877.355.282.796,,877355282796.0
"Các khoản phải trả, phải nộp khác","a. Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",41.720.220.686,7.806.700.232,41720220686.0,7806700232.0
,,,217.925.357.675,1.088.109.051.073,217925357675.0,1088109051073.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","b. Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",157.421.551.625,68.156.364.914,157421551625.0,68156364914.0
,,,157.421.551.625,68.156.364.914,157421551625.0,68156364914.0
