row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm(Trình bày lại)
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,24.667.923.276.405,19.884.489.698.973,,200.0,,24667923276405.0,19884489698973.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,265.501.804.717,265.501.804.717,,210.0,,265501804717.0,265501804717.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,7,2.800.000.200,5.600.000.200,,211.0,7.0,2800000200.0,5600000200.0
2.,2.,2.,Phải thu dài hạn khác,216,9,265.501.804.717,265.501.804.717,,216.0,9.0,265501804717.0,265501804717.0
3.,3.,3.,Dự phòng phải thu dài hạn khó đòi,219,10,(2.800.000.200),(5.600.000.200),,219.0,10.0,-2800000200.0,-5600000200.0
II.,II.,II.,Tài sản cố định,220,,13.140.335.921.780,11.745.839.026.908,,220.0,,13140335921780.0,11745839026908.0
1.,1.,1.,Tài sản cố định hữu hình,221,14,13.137.032.858.662,11.745.085.233.289,,221.0,14.0,13137032858662.0,11745085233289.0
,,,- Nguyên giá,222,,48.710.405.763.251,44.982.305.865.198,,222.0,,48710405763251.0,44982305865198.0
,,,- Giá trị hao mòn lũy kế,223,,(35.573.372.904.589),(33.237.220.631.909),,223.0,,-35573372904589.0,-33237220631909.0
2.,2.,2.,Tài sản cố định vô hình,227,15,3.303.063.118,753.793.619,,227.0,15.0,3303063118.0,753793619.0
,,,- Nguyên giá,228,,25.849.266.955,22.367.636.282,,228.0,,25849266955.0,22367636282.0
,,,- Giá trị hao mòn lũy kế,229,,(22.546.203.837),(21.613.842.663),,229.0,,-22546203837.0,-21613842663.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,7.888.086.590.183,4.761.336.391.800,,240.0,,7888086590183.0,4761336391800.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,16,7.888.086.590.183,4.761.336.391.800,,242.0,16.0,7888086590183.0,4761336391800.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,17,2.849.060.829.145,2.796.013.204.185,,250.0,17.0,2849060829145.0,2796013204185.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,,2.673.721.780.341,2.625.250.387.949,,252.0,,2673721780341.0,2625250387949.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,235.339.048.804,234.800.000.000,,253.0,,235339048804.0,234800000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(60.000.000.000),(64.037.183.764),,254.0,,-60000000000.0,-64037183764.0
V.,V.,V.,Tài sản dài hạn khác,260,,524.938.130.580,315.799.271.363,,260.0,,524938130580.0,315799271363.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,92.435.381.397,148.647.463.760,,261.0,12.0,92435381397.0,148647463760.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,18,432.502.749.183,167.151.807.603,,262.0,18.0,432502749183.0,167151807603.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,67.347.604.356.638,60.192.974.852.183,,270.0,,67347604356638.0,60192974852183.0
