row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ > VND,Bán hàng > VND,Tổng > VND,numeric__Dịch vụ > VND,numeric__Bán hàng > VND,numeric__Tổng > VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu bộ phận > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,18.808.620.909.650,1.189.521.508.979,19.998.142.418.629,18808620909650.0,1189521508979.0,19998142418629.0
Chi phí bộ phận,Doanh thu bộ phận > Chi phí bộ phận,Chi phí bộ phận,7.491.629.498.237,982.617.280.163,8.474.246.778.400,7491629498237.0,982617280163.0,8474246778400.0
Giá vốn hàng bán,Doanh thu bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,7.491.629.498.237,645.067.569.768,8.136.697.068.005,7491629498237.0,645067569768.0,8136697068005.0
Chi phí bán hàng,Doanh thu bộ phận > Chi phí bán hàng,Chi phí bán hàng,-,337.549.710.395,337.549.710.395,,337549710395.0,337549710395.0
Kết quả kinh doanh theo bộ phận,Doanh thu bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,11.316.991.411.413,206.904.228.816,11.523.895.640.229,11316991411413.0,206904228816.0,11523895640229.0
Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,Các khoản doanh thu và chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,3.427.029.949.656,,,3427029949656.0
Doanh thu hoạt động tài chính,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,2.214.582.339.047,,,2214582339047.0
Chi phí tài chính,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,104.608.564.203,,,104608564203.0
Thu nhập khác,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,28.873.108.289,,,28873108289.0
Chi phí khác,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,3.360.267.987,,,3360267987.0
"Lãi trong công ty liên doanh, liên kết","Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",,,259.730.019.734,,,259730019734.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,2.287.807.754.469,,,2287807754469.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,(265.434.958.692),,,-265434958692.0
Lợi ích cổ đông không kiểm soát,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,10.004.322.035,,,10004322035.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các khoản doanh thu và chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,8.459.705.207.641,,,8459705207641.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
- Lợi nhuận của Tổng Công ty,Trong đó: > - Lợi nhuận của Tổng Công ty,- Lợi nhuận của Tổng Công ty,,,7.222.286.069.558,,,7222286069558.0
- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Trong đó: > - Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,,,1.237.419.138.083,,,1237419138083.0
Tài sản không phân bổ theo bộ phận,Trong đó: > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,67.347.604.356.638,,,67347604356638.0
Nợ phải trả không phân bổ theo bộ phận,Trong đó: > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,16.933.960.524.126,,,16933960524126.0
