row_label_raw,row_label_full,Chỉ tiêu,Mã số,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND,numeric__Mã số,numeric__Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,numeric__Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,numeric__Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,16.325.095.492.141,16.286.059.480.968,(39.036.011.173),300.0,16325095492141.0,16286059480968.0,-39036011173.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,5.413.187.007.382,5.374.150.996.209,(39.036.011.173),310.0,5413187007382.0,5374150996209.0,-39036011173.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,916.573.311.774,916.573.311.774,-,311.0,916573311774.0,916573311774.0,
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,26.572.927.404,26.572.927.404,-,312.0,26572927404.0,26572927404.0,
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,1.544.217.963.264,1.598.020.860.374,53.802.897.110,313.0,1544217963264.0,1598020860374.0,53802897110.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,970.191.065.000,970.191.065.000,-,314.0,970191065000.0,970191065000.0,
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,216.401.320.802,214.088.731.636,(2.312.589.166),315.0,216401320802.0,214088731636.0,-2312589166.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,2.427.844.322,2.427.844.322,-,318.0,2427844322.0,2427844322.0,
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,1.162.927.552.667,1.088.109.051.073,(74.818.501.594),319.0,1162927552667.0,1088109051073.0,-74818501594.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,382.035.224.439,366.327.406.916,(15.707.817.523),320.0,382035224439.0,366327406916.0,-15707817523.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,191.839.797.710,191.839.797.710,-,322.0,191839797710.0,191839797710.0,
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,10.911.908.484.759,10.911.908.484.759,-,330.0,10911908484759.0,10911908484759.0,
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,43.776.454.168.563,43.906.915.371.215,130.461.202.652,400.0,43776454168563.0,43906915371215.0,130461202652.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,21.771.732.360.000,21.771.732.360.000,-,411.0,21771732360000.0,21771732360000.0,
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,14.602.790.587,14.602.790.587,-,412.0,14602790587.0,14602790587.0,
3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,415,(2.918.680.000),(2.918.680.000),-,415.0,-2918680000.0,-2918680000.0,
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,6.034.593.641.645,6.034.593.641.645,-,418.0,6034593641645.0,6034593641645.0,
5. Lợi nhuận sau thuế chưa phân phối,5. Lợi nhuận sau thuế chưa phân phối,5. Lợi nhuận sau thuế chưa phân phối,421,15.910.919.623.029,16.041.380.825.681,130.461.202.652,421.0,15910919623029.0,16041380825681.0,130461202652.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,9.718.142.315.154,9.703.805.587.978,(14.336.727.176),,9718142315154.0,9703805587978.0,-14336727176.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,6.192.777.307.875,6.337.575.237.703,144.797.929.828,,6192777307875.0,6337575237703.0,144797929828.0
6. Lợi ích cổ đông không kiểm soát,6. Lợi ích cổ đông không kiểm soát,6. Lợi ích cổ đông không kiểm soát,439,47.524.433.302,47.524.433.302,-,439.0,47524433302.0,47524433302.0,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,60.101.549.660.704,60.192.974.852.183,91.425.191.479,440.0,60101549660704.0,60192974852183.0,91425191479.0
