row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo > VND,Số trình bày lại > VND,Thay đổi > VND,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__Số trình bày lại > VND,numeric__Thay đổi > VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,13.899.939.268.464,13.897.906.446.395,(2.032.822.069),1.0,13899939268464.0,13897906446395.0,-2032822069.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,93.004.251.434,93.004.251.434,-,2.0,93004251434.0,93004251434.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,13.806.935.017.030,13.804.902.194.961,(2.032.822.069),10.0,13806935017030.0,13804902194961.0,-2032822069.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,7.308.367.535.243,7.288.381.920.852,(19.985.614.391),11.0,7308367535243.0,7288381920852.0,-19985614391.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,6.498.567.481.787,6.516.520.274.109,17.952.792.322,20.0,6498567481787.0,6516520274109.0,17952792322.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,4.113.978.002.295,4.129.685.819.818,15.707.817.523,21.0,4113978002295.0,4129685819818.0,15707817523.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,93.959.675.547,93.043.675.547,(916.000.000),22.0,93959675547.0,93043675547.0,-916000000.0
"8. Lãi trong công ty liên doanh, liên kết","8. Lãi trong công ty liên doanh, liên kết","8. Lãi trong công ty liên doanh, liên kết",24,178.867.922.871,178.867.922.871,-,24.0,178867922871.0,178867922871.0,
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,220.063.489.580,220.063.489.580,-,25.0,220063489580.0,220063489580.0,
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,1.704.785.102.284,1.651.005.051.963,(53.780.050.321),26.0,1704785102284.0,1651005051963.0,-53780050321.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,8.772.605.139.542,8.860.961.799.708,88.356.660.166,30.0,8772605139542.0,8860961799708.0,88356660166.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,17.474.681.085,119.272.675.624,101.797.994.539,31.0,17474681085.0,119272675624.0,101797994539.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,1.048.060.361,6.852.560.361,5.804.500.000,32.0,1048060361.0,6852560361.0,5804500000.0
