row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải thu/nộp trong năm,Số đã thực thu/nộp trong năm,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải thu/nộp trong năm,numeric__Số đã thực thu/nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.727.236,1.386.495.401,18.727.236,1.386.495.401,18727236.0,1386495401.0,18727236.0,1386495401.0
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,628.979.666,-,-,628.979.666,628979666.0,,,628979666.0
Thuế thu nhập cá nhân,Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,14.300.603.944,23.200.668.208,1.224.796.451,36.276.475.701,14300603944.0,23200668208.0,1224796451.0,36276475701.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.859.491.021,3.875.023.316,18.000.000,6.716.514.337,2859491021.0,3875023316.0,18000000.0,6716514337.0
Thuế nhà thầu,Thuế và các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,1.746.899,-,725.093,1.021.806,1746899.0,,725093.0,1021806.0
Thuế môn bài,Thuế và các khoản phải thu > Thuế môn bài,Thuế môn bài,-,4.040.600,-,4.040.600,,4040600.0,,4040600.0
,,,17.809.548.766,28.466.227.525,1.262.248.780,45.013.527.511,17809548766.0,28466227525.0,1262248780.0,45013527511.0
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
Thuế giá trị gia tăng,Thuế và các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,39.546.440.643,547.916.727.008,573.221.127.995,14.242.039.656,39546440643.0,547916727008.0,573221127995.0,14242039656.0
"Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,233.505.540,233.505.540,-,,233505540.0,233505540.0,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.521.285.735.419,2.287.807.754.469,2.000.600.000.000,1.808.493.489.888,1521285735419.0,2287807754469.0,2000600000000.0,1808493489888.0
Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.434.269.396,263.313.211.962,265.897.475.402,2.850.005.956,5434269396.0,263313211962.0,265897475402.0,2850005956.0
Thuế tài nguyên,Thuế và các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,34.925.760,515.986.880,494.039.280,56.873.360,34925760.0,515986880.0,494039280.0,56873360.0
"Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.291.154.127,120.575.363.445,122.866.517.572,-,2291154127.0,120575363445.0,122866517572.0,
Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,150.627.218,2.233.581.507,2.108.722.524,275.486.201,150627218.0,2233581507.0,2108722524.0,275486201.0
Thuế nhà thầu,Thuế và các khoản phải nộp > Thuế nhà thầu,Thuế nhà thầu,12.371.955.243,21.709.119.168,33.288.748.054,792.326.357,12371955243.0,21709119168.0,33288748054.0,792326357.0
Thuế môn bài,Thuế và các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,28.000.000,28.000.000,-,,28000000.0,28000000.0,
Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,Thuế và các khoản phải nộp > Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,16.904.492.283,2.114.774.420.879,900.000.000.000,1.231.678.913.162,16904492283.0,2114774420879.0,900000000000.0,1231678913162.0
Các khoản thuế khác,Thuế và các khoản phải nộp > Các khoản thuế khác,Các khoản thuế khác,1.260.285,755.955.189,757.215.474,-,1260285.0,755955189.0,757215474.0,
,,,1.598.020.860.374,5.359.863.626.047,3.899.495.351.841,3.058.389.134.580,1598020860374.0,5359863626047.0,3899495351841.0,3058389134580.0
