row_label_raw,row_label_full,Chỉ tiêu,Mã số,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND,numeric__Mã số,numeric__Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,numeric__Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,numeric__Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND
TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,40.301.028.528.254,40.308.485.153.210,7.456.624.956,100.0,40301028528254.0,40308485153210.0,7456624956.0
1. Tiền và các khoản tương đương tiền,1. Tiền và các khoản tương đương tiền,1. Tiền và các khoản tương đương tiền,110,2.496.515.921.711,2.496.515.921.711,-,110.0,2496515921711.0,2496515921711.0,
2. Đầu tư tài chính ngắn hạn,2. Đầu tư tài chính ngắn hạn,2. Đầu tư tài chính ngắn hạn,120,30.498.100.000.000,30.498.100.000.000,-,120.0,30498100000000.0,30498100000000.0,
3. Phải thu ngắn hạn của khách hàng,3. Phải thu ngắn hạn của khách hàng,3. Phải thu ngắn hạn của khách hàng,131,6.288.458.335.002,6.280.935.369.339,(7.522.965.663),131.0,6288458335002.0,6280935369339.0,-7522965663.0
4. Trả trước cho người bán ngắn hạn,4. Trả trước cho người bán ngắn hạn,4. Trả trước cho người bán ngắn hạn,132,407.195.975.795,407.195.975.795,-,132.0,407195975795.0,407195975795.0,
5. Phải thu ngắn hạn khác,5. Phải thu ngắn hạn khác,5. Phải thu ngắn hạn khác,136,1.023.024.859.536,1.035.443.042.435,12.418.182.899,136.0,1023024859536.0,1035443042435.0,12418182899.0
6. Dự phòng phải thu ngắn hạn khó đòi,6. Dự phòng phải thu ngắn hạn khó đòi,6. Dự phòng phải thu ngắn hạn khó đòi,137,(1.245.224.917.188),(1.245.224.917.188),-,137.0,-1245224917188.0,-1245224917188.0,
7. Hàng tồn kho,7. Hàng tồn kho,7. Hàng tồn kho,141,451.188.377.629,452.360.521.938,1.172.144.309,141.0,451188377629.0,452360521938.0,1172144309.0
8. Chi phí trả trước ngắn hạn,8. Chi phí trả trước ngắn hạn,8. Chi phí trả trước ngắn hạn,151,22.569.830.065,24.016.991.324,1.447.161.259,151.0,22569830065.0,24016991324.0,1447161259.0
9. Thuế giá trị gia tăng được khấu trừ,9. Thuế giá trị gia tăng được khấu trừ,9. Thuế giá trị gia tăng được khấu trừ,152,341.390.596.938,341.332.699.090,(57.897.848),152.0,341390596938.0,341332699090.0,-57897848.0
