row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHÌ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,20.102.500.942.208,13.897.906.446.395,,1.0,26.0,20102500942208.0,13897906446395.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,104.358.523.579,93.004.251.434,,2.0,26.0,104358523579.0,93004251434.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,19.998.142.418.629,13.804.902.194.961,,10.0,,19998142418629.0,13804902194961.0
4.,4.,4.,Giá vốn hàng bán và cung cấp dịch vụ,11,27,8.136.697.068.005,7.288.381.920.852,,11.0,27.0,8136697068005.0,7288381920852.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,11.861.445.350.624,6.516.520.274.109,,20.0,,11861445350624.0,6516520274109.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,2.214.582.339.047,4.129.685.819.818,,21.0,29.0,2214582339047.0,4129685819818.0
7.,7.,7.,Chi phí tài chính,22,30,104.608.564.203,93.043.675.547,,22.0,30.0,104608564203.0,93043675547.0
,,,- Trong đó: Chi phí lãi vay,23,,66.912.656.317,72.167.857.692,,23.0,,66912656317.0,72167857692.0
8.,8.,8.,"Phần lãi trong công ty liên kết, liên doanh",24,17,259.730.019.734,178.867.922.871,,24.0,17.0,259730019734.0,178867922871.0
9.,9.,9.,Chi phí bán hàng,25,31,337.549.710.395,220.063.489.580,,25.0,31.0,337549710395.0,220063489580.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,31,3.427.029.949.656,1.651.005.051.963,,26.0,31.0,3427029949656.0,1651005051963.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,10.466.569.485.151,8.860.961.799.708,,30.0,,10466569485151.0,8860961799708.0
12.,12.,12.,Thu nhập khác,31,32,28.873.108.289,119.272.675.624,,31.0,32.0,28873108289.0,119272675624.0
13.,13.,13.,Chi phí khác,32,33,3.360.267.987,6.852.560.361,,32.0,33.0,3360267987.0,6852560361.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,25.512.840.302,112.420.115.263,,40.0,,25512840302.0,112420115263.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,10.492.082.325.453,8.973.381.914.971,,50.0,,10492082325453.0,8973381914971.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,2.287.807.754.469,1.878.855.703.399,,51.0,34.0,2287807754469.0,1878855703399.0
17.,17.,17.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,,(265.434.958.692),(142.847.800.553),,52.0,,-265434958692.0,-142847800553.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,8.469.709.529.676,7.237.374.012.125,,60.0,,8469709529676.0,7237374012125.0
,,,- Lợi nhuận của Công ty mẹ,61,,8.459.705.207.641,7.231.835.012.782,,61.0,,8459705207641.0,7231835012782.0
,,,+ Lợi nhuận của Tổng Công ty,,,7.222.286.069.558,6.337.575.237.703,,,,7222286069558.0,6337575237703.0
,,,"+ Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác",,,1.237.419.138.083,894.259.775.079,,,,1237419138083.0,894259775079.0
,,,- Lợi ích của cổ đông không kiểm soát,62,,10.004.322.035,5.538.999.343,,62.0,,10004322035.0,5538999343.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,35,3.318,2.580,,70.0,35.0,3318.0,2580.0
