row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,50.413.643.832.512,43.906.915.371.215,,400.0,,50413643832512.0,43906915371215.0
I.,I.,I.,Vốn chủ sở hữu,410,24,50.413.643.832.512,43.906.915.371.215,,410.0,24.0,50413643832512.0,43906915371215.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,21.771.732.360.000,21.771.732.360.000,,411.0,,21771732360000.0,21771732360000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,21.771.732.360.000,21.771.732.360.000,,,,21771732360000.0,21771732360000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,14.602.790.587,14.602.790.587,,412.0,,14602790587.0,14602790587.0
3.,3.,3.,Cổ phiếu quỹ,415,,(2.918.680.000),(2.918.680.000),,415.0,,-2918680000.0,-2918680000.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,6.034.593.641.645,6.034.593.641.645,,418.0,,6034593641645.0,6034593641645.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,22.542.351.236.061,16.041.380.825.681,,421.0,,22542351236061.0,16041380825681.0
5.,5.,5.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,15.320.065.166.503,9.703.805.587.978,,,,15320065166503.0,9703805587978.0
5.,5.,5.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,7.222.286.069.558,6.337.575.237.703,,,,7222286069558.0,6337575237703.0
6.,6.,6.,Lợi ích của cổ đông không kiểm soát,429,,53.282.484.219,47.524.433.302,,429.0,,53282484219.0,47524433302.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,67.347.604.356.638,60.192.974.852.183,,440.0,,67347604356638.0,60192974852183.0
