row_label_raw,row_label_full,1.,Lợi nhuận trước thuế,01,8.789.031.760.266,8.973.381.914.971,184.350.154.705,numeric__Lợi nhuận trước thuế,numeric__01,numeric__8.789.031.760.266,numeric__8.973.381.914.971,numeric__184.350.154.705
2.,2.,2.,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,,
,,,Khấu hao tài sản cố định,02,2.338.108.613.321,2.336.698.462.759,(1.410.150.562),,2.0,2338108613321.0,2336698462759.0,-1410150562.0
,,,Các khoản dự phòng,03,757.680.954.573,757.680.954.573,-,,3.0,757680954573.0,757680954573.0,
,,,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(2.335.821.186.565),(2.351.529.004.088),(15.707.817.523),,4.0,-2335821186565.0,-2351529004088.0,-15707817523.0
,,,Lãi từ hoạt động đầu tư,05,(1.900.709.290.666),(1.900.709.290.666),-,,5.0,-1900709290666.0,-1900709290666.0,
,,,Chi phí lãi vay,06,73.083.857.692,72.167.857.692,(916.000.000),,6.0,73083857692.0,72167857692.0,-916000000.0
,,,Các khoản điều chỉnh khác,07,-,(75.185.577.920),(75.185.577.920),,7.0,,-75185577920.0,-75185577920.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,7.721.374.708.621,7.812.505.317.321,91.130.608.700,,8.0,7721374708621.0,7812505317321.0,91130608700.0
3.,2. > 3.,3.,Thay đối các khoản phải thu,09,(3.900.241.781.206),(3.904.500.122.113),(4.258.340.907),,9.0,-3900241781206.0,-3904500122113.0,-4258340907.0
3.,2. > 3.,3.,Thay đối hàng tồn kho,10,(184.510.701.164),(185.682.845.473),(1.172.144.309),,10.0,-184510701164.0,-185682845473.0,-1172144309.0
3.,2. > 3.,3.,Thay đối các khoản phải trả,11,103.999.162.485,117.304.240.805,13.305.078.320,,11.0,103999162485.0,117304240805.0,13305078320.0
3.,2. > 3.,3.,Thay đối chi phí trả trước,12,58.079.701.424,54.182.722.785,(3.896.978.639),,12.0,58079701424.0,54182722785.0,-3896978639.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(76.892.857.692),(76.892.857.692),-,,14.0,-76892857692.0,-76892857692.0,
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(200.000.000.000),(200.000.000.000),-,,15.0,-200000000000.0,-200000000000.0,
3.,2. > 3.,3.,Tiền chi khác từ hoạt động kinh doanh,17,(258.759.174.889),(273.095.902.065),(14.336.727.176),,17.0,-258759174889.0,-273095902065.0,-14336727176.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,3.263.049.057.579,3.343.820.553.568,80.771.495.989,,20.0,3263049057579.0,3343820553568.0,80771495989.0
