row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VNDSố đầu năm(Trình bày lại),numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VNDSố đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,42.679.681.080.233,40.308.485.153.210,,100.0,,42679681080233.0,40308485153210.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,2.843.713.782.836,2.496.515.921.711,,110.0,5.0,2843713782836.0,2496515921711.0
1.,1.,1.,Tiền,111,,2.343.713.782.836,894.515.921.711,,111.0,,2343713782836.0,894515921711.0
2.,2.,2.,Các khoản tương đương tiền,112,,500.000.000.000,1.602.000.000.000,,112.0,,500000000000.0,1602000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,25.895.700.000.000,30.498.100.000.000,,120.0,,25895700000000.0,30498100000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,6,25.895.700.000.000,30.498.100.000.000,,123.0,6.0,25895700000000.0,30498100000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,12.672.492.742.004,6.478.349.470.381,,130.0,,12672492742004.0,6478349470381.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,9.031.353.155.831,6.280.935.369.339,,131.0,7.0,9031353155831.0,6280935369339.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,6.374.973.169.640,407.195.975.795,,132.0,8.0,6374973169640.0,407195975795.0
3.,3.,3.,Phải thu ngắn hạn khác,136,9,989.358.609.369,1.035.443.042.435,,136.0,9.0,989358609369.0,1035443042435.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,10,(3.723.192.192.836),(1.245.224.917.188),,137.0,10.0,-3723192192836.0,-1245224917188.0
IV.,IV.,IV.,Hàng tồn kho,140,11,468.060.286.710,452.360.521.938,,140.0,11.0,468060286710.0,452360521938.0
1.,1.,1.,Hàng tồn kho,141,,468.060.286.710,452.360.521.938,,141.0,,468060286710.0,452360521938.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,799.714.268.683,383.159.239.180,,150.0,,799714268683.0,383159239180.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,25.087.321.198,24.016.991.324,,151.0,12.0,25087321198.0,24016991324.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,729.613.419.974,341.332.699.090,,152.0,,729613419974.0,341332699090.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,13,45.013.527.511,17.809.548.766,,153.0,13.0,45013527511.0,17809548766.0
