row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,16.933.960.524.126,16.286.059.480.968,,300.0,,16933960524126.0,16286059480968.0
I.,I.,I.,Nợ ngắn hạn,310,,6.721.951.623.862,5.374.150.996.209,,310.0,,6721951623862.0,5374150996209.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,19,1.188.191.768.306,916.573.311.774,,311.0,19.0,1188191768306.0,916573311774.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,9.601.723.321,26.572.927.404,,312.0,,9601723321.0,26572927404.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,13,3.058.389.134.580,1.598.020.860.374,,313.0,13.0,3058389134580.0,1598020860374.0
4.,4.,4.,Phải trả người lao động,314,,1.113.039.754.104,970.191.065.000,,314.0,,1113039754104.0,970191065000.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,521.790.374.099,214.088.731.636,,315.0,20.0,521790374099.0,214088731636.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,4.469.693.758,2.427.844.322,,318.0,,4469693758.0,2427844322.0
7.,7.,7.,Phải trả ngắn hạn khác,319,21,217.925.357.675,1.088.109.051.073,,319.0,21.0,217925357675.0,1088109051073.0
8.,8.,8.,Vay ngắn hạn,320,22,410.420.912.532,366.327.406.916,,320.0,22.0,410420912532.0,366327406916.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,23,198.122.905.487,191.839.797.710,,322.0,23.0,198122905487.0,191839797710.0
II.,II.,II.,Nợ dài hạn,330,,10.212.008.900.264,10.911.908.484.759,,330.0,,10212008900264.0,10911908484759.0
1.,1.,1.,Phải trả dài hạn khác,337,21,157.421.551.625,68.156.364.914,,337.0,21.0,157421551625.0,68156364914.0
2.,2.,2.,Vay dài hạn,338,22,10.046.031.520.694,10.834.404.774.788,,338.0,22.0,10046031520694.0,10834404774788.0
3.,3.,3.,Thuế thu nhập hoãn lại phải trả,341,18,194.031.922,278.049.034,,341.0,18.0,194031922.0,278049034.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,,8.361.796.023,9.069.296.023,,342.0,,8361796023.0,9069296023.0
