row_label_raw,row_label_full,col_0,Thực phẩm,Thực phẩm_1,Đồ uống,Đồ uống_1,Sản phẩm chăm sóccá nhân và gia đình,Sản phẩm chăm sóccá nhân và gia đình_1,Khác,Khác_1,Hợp nhất,Hợp nhất_1,numeric__Thực phẩm,numeric__Thực phẩm_1,numeric__Đồ uống,numeric__Đồ uống_1,numeric__Sản phẩm chăm sóccá nhân và gia đình,numeric__Sản phẩm chăm sóccá nhân và gia đình_1,numeric__Khác,numeric__Khác_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2023VND,2022 (*)VND,2023VND,2022 (*)VND,2023VND,2022 (*)VND,2023VND,2022 (*)VND,2023VND,2022 (*)VND,,,,,,,,,,
Tổng doanh thu của bộ phận - thuần,Tổng doanh thu của bộ phận - thuần,Tổng doanh thu của bộ phận - thuần,19.447.477.993.426,19.024.685.354.380,6.492.071.053.579,6.179.427.802.519,2.069.957.443.070,1.569.114.792.073,231.486.142.762,204.045.221.056,28.240.992.632.837,26.977.273.170.028,19447477993426.0,19024685354380.0,6492071053579.0,6179427802519.0,2069957443070.0,1569114792073.0,231486142762.0,204045221056.0,28240992632837.0,26977273170028.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,5.585.132.354.656,4.484.477.870.040,1.568.779.079.524,1.542.445.706.580,(88.301.645.840),16.697.991.210,85.253.649.777,39.759.102.729,7.150.863.438.117,6.083.380.670.559,5585132354656.0,4484477870040.0,1568779079524.0,1542445706580.0,-88301645840.0,16697991210.0,85253649777.0,39759102729.0,7150863438117.0,6083380670559.0
Chi phí quản lý doanh nghiệp không phân bổ,Chi phí quản lý doanh nghiệp không phân bổ,Chi phí quản lý doanh nghiệp không phân bổ,,,,,,,,,(371.591.770.661),(366.630.260.992),,,,,,,,,-371591770661.0,-366630260992.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,1.853.512.410.411,934.533.482.162,,,,,,,,,1853512410411.0,934533482162.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,(538.028.288.437),(385.172.202.557),,,,,,,,,-538028288437.0,-385172202557.0
Lợi nhuận thuần tử hoạt động kinh doanh,Lợi nhuận thuần tử hoạt động kinh doanh,Lợi nhuận thuần tử hoạt động kinh doanh,,,,,,,,,8.094.755.789.430,6.266.111.689.172,,,,,,,,,8094755789430.0,6266111689172.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,,,9.577.037.619,3.300.140.266,,,,,,,,,9577037619.0,3300140266.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,,,(5.486.220.370),(26.050.918.673),,,,,,,,,-5486220370.0,-26050918673.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,,(904.676.361.534),(710.553.801.684),,,,,,,,,-904676361534.0,-710553801684.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,7.194.170.245.145,5.532.807.109.081,,,,,,,,,7194170245145.0,5532807109081.0
