row_label_raw,row_label_full,col_0,Thực phẩm,Thực phẩm_1,Đồ uống,Đồ uống_1,Sản phẩm chấm sóc gia đình,Sản phẩm chấm sóc gia đình_1,Hợp nhất,Hợp nhất_1,numeric__Thực phẩm,numeric__Thực phẩm_1,numeric__Đồ uống,numeric__Đồ uống_1,numeric__Sản phẩm chấm sóc gia đình,numeric__Sản phẩm chấm sóc gia đình_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2023VND,1/1/2023VND,31/12/2023VND,1/1/2023VND,31/12/2023VND,1/1/2023VND,31/12/2023VND,1/1/2023VND,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,5.763.914.757.228,6.061.217.312.836,2.301.160.142.943,2.485.099.017.086,1.076.142.090.123,1.142.748.260.755,9.141.216.990.294,9.689.064.590.677,5763914757228.0,6061217312836.0,2301160142943.0,2485099017086.0,1076142090123.0,1142748260755.0,9141216990294.0,9689064590677.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,31.411.471.945.159,23.827.578.494.843,,,,,,,31411471945159.0,23827578494843.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,40.552.688.935.453,33.516.643.085.520,,,,,,,40552688935453.0,33516643085520.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.986.673.262.290,1.566.471.651.304,923.390.677.707,538.029.940.485,444.843.576.925,323.937.928.398,3.354.907.516.922,2.428.439.520.187,1986673262290.0,1566471651304.0,923390677707.0,538029940485.0,444843576925.0,323937928398.0,3354907516922.0,2428439520187.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,10.822.222.240.111,8.642.558.358.179,,,,,,,10822222240111.0,8642558358179.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,14.177.129.757.033,11.070.997.878.366,,,,,,,14177129757033.0,11070997878366.0
,,,2023VND,2022VND,2023VND,2022VND,2023VND,2022VND,2023VND,2022VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,359.843.975.828,853.860.039.613,134.714.769.688,359.864.556.246,21.687.649.552,4.247.818.197,516.246.395.068,1.217.972.414.056,359843975828.0,853860039613.0,134714769688.0,359864556246.0,21687649552.0,4247818197.0,516246395068.0,1217972414056.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,,,82.013.082.454,38.285.553.753,,,,,,,82013082454.0,38285553753.0
Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,387.278.685.310,482.858.841.527,138.089.701.711,151.337.077.469,23.182.296.559,24.617.619.546,548.550.683.580,658.813.538.542,387278685310.0,482858841527.0,138089701711.0,151337077469.0,23182296559.0,24617619546.0,548550683580.0,658813538542.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,,,,5.592.723.711,4.671.686.840,,,,,,,5592723711.0,4671686840.0
"Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn",24.933.464.552,39.216.396.843,62.441.404.404,84.248.789.612,36.513.906.693,35.596.177.625,123.888.775.649,159.061.364.080,24933464552.0,39216396843.0,62441404404.0,84248789612.0,36513906693.0,35596177625.0,123888775649.0,159061364080.0
Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,,,,61.799.952.793,52.707.880.718,,,,,,,61799952793.0,52707880718.0
