row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy tínhVND,Quyền khai tháctài nguyênnước khoángVND,Nhân hiệuVND,Quan hệkhách hàngVND,Tài nguyênnước khoángVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy tínhVND,numeric__Quyền khai tháctài nguyênnước khoángVND,numeric__Nhân hiệuVND,numeric__Quan hệkhách hàngVND,numeric__Tài nguyênnước khoángVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,305.218.219.691,76.959.571.667,1.085.327.898.373,397.341.034.078,412.697.763.511,2.396.630.305.722,119085818402.0,305218219691.0,76959571667.0,1085327898373.0,397341034078.0,412697763511.0,2396630305722.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,208.820.000,-,-,-,-,208.820.000,,208820000.0,,,,,208820000.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,-,1.816.329.800,-,-,-,-,1.816.329.800,,1816329800.0,,,,,1816329800.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(721.558.000),-,-,-,(721.558.000),,,-721558000.0,,,,-721558000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,307.243.369.491,76.238.013.667,1.085.327.898.373,397.341.034.078,412.697.763.511,2.397.933.897.522,119085818402.0,307243369491.0,76238013667.0,1085327898373.0,397341034078.0,412697763511.0,2397933897522.0
Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Gía trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,46.961.603.093,275.064.259.076,30.243.205.130,679.681.971.307,367.099.758.073,161.136.460.212,1.560.187.256.891,46961603093.0,275064259076.0,30243205130.0,679681971307.0,367099758073.0,161136460212.0,1560187256891.0
Khấu hao trong năm,Gía trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.953.213.512,20.786.754.453,2.796.528.067,22.726.925.729,5.671.498.404,19.548.050.988,74.482.971.153,2953213512.0,20786754453.0,2796528067.0,22726925729.0,5671498404.0,19548050988.0,74482971153.0
Số dư cuối năm,Gía trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,49.914.816.605,295.851.013.529,33.039.733.197,702.408.897.036,372.771.256.477,180.684.511.200,1.634.670.228.044,49914816605.0,295851013529.0,33039733197.0,702408897036.0,372771256477.0,180684511200.0,1634670228044.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,72.124.215.309,30.153.960.615,46.716.366.537,405.645.927.066,30.241.276.005,251.561.303.299,836.443.048.831,72124215309.0,30153960615.0,46716366537.0,405645927066.0,30241276005.0,251561303299.0,836443048831.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,69.171.001.797,11.392.355.962,43.198.280.470,382.919.001.337,24.569.777.601,232.013.252.311,763.263.669.478,69171001797.0,11392355962.0,43198280470.0,382919001337.0,24569777601.0,232013252311.0,763263669478.0
