row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,-,56.455.185.000,numeric__31,numeric__-,numeric__56.455.185.000
Tiền thu từ phát hành cổ phiếu ở công ty con,Tiền thu từ phát hành cổ phiếu ở công ty con,Tiền thu từ phát hành cổ phiếu ở công ty con,31,-,38.345.000.000,31.0,,38345000000.0
Tiền thu từ các khoản vay ngân hàng,Tiền thu từ các khoản vay ngân hàng,Tiền thu từ các khoản vay ngân hàng,33,22.927.569.362.282,19.834.325.634.311,33.0,22927569362282.0,19834325634311.0
Tiền trả nợ gốc vay ngân hàng,Tiền trả nợ gốc vay ngân hàng,Tiền trả nợ gốc vay ngân hàng,34,(21.632.256.415.020),(20.452.689.345.551),34.0,-21632256415020.0,-20452689345551.0
Tiền chi trả cổ tức của Công ty và các công ty con,Tiền chi trả cổ tức của Công ty và các công ty con,Tiền chi trả cổ tức của Công ty và các công ty con,36,(261.545.703.173),(113.973.663.980),36.0,-261545703173.0,-113973663980.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,1.033.767.244.089,(637.537.190.220),40.0,1033767244089.0,-637537190220.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,201.531.220.202,(7.425.799.160.937),50.0,201531220202.0,-7425799160937.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,5.588.278.453.404,13.013.125.962.658,60.0,5588278453404.0,13013125962658.0
Ảnh hưởng của thay đổi tỷ giá hối đoáiđối với tiên và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoáiđối với tiên và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoáiđối với tiên và các khoản tương đương tiền,61,(11.322.170),(35.107.277),61.0,-11322170.0,-35107277.0
Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,61,72.522.155,986.758.960,61.0,72522155.0,986758960.0
Tiền và các khoản tương đương tiền cuối năm\( (70 = 50 + 60 + 61) \) (Thuyết minh 5),Tiền và các khoản tương đương tiền cuối năm\( (70 = 50 + 60 + 61) \) (Thuyết minh 5),Tiền và các khoản tương đương tiền cuối năm\( (70 = 50 + 60 + 61) \) (Thuyết minh 5),70,5.789.870.873.591,5.588.278.453.404,70.0,5789870873591.0,5588278453404.0
