row_label_raw,row_label_full,"1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý_1","1. Tiền mặt, vàng bạc, đá quý_2","numeric__1. Tiền mặt, vàng bạc, đá quý_1","numeric__1. Tiền mặt, vàng bạc, đá quý_2"
,,,31/12/2018,31/12/2017,,
Tiền mặt bằng VND,Tiền mặt bằng VND,Tiền mặt bằng VND,137.871,185.649,137871.0,185649.0
Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,18.130,27.153,18130.0,27153.0
Tổng cộng,Tổng cộng,Tổng cộng,156.001,212.802,156001.0,212802.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,,
,,,31/12/2018,31/12/2017,,
Tiền gửi thanh toán tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước > Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,844.551,856.957,844551.0,856957.0
Bằng VND,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng VND,Bằng VND,803.699,808.395,803699.0,808395.0
Bằng vàng và ngoại tệ,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,40.852,48.562,40852.0,48562.0
Tổng cộng,2. Tiền gửi tại Ngân hàng Nhà nước > Tổng cộng,Tổng cộng,844.551,856.957,844551.0,856957.0
