row_label_raw,row_label_full,6. Cho vay khách hàng,6. Cho vay khách hàng_1,6. Cho vay khách hàng_2,numeric__6. Cho vay khách hàng_1,numeric__6. Cho vay khách hàng_2
,,,31/12/2018,31/12/2017,,
"Cho vay các tổ chức kinh tế, cả nhân trong nước","Cho vay các tổ chức kinh tế, cả nhân trong nước","Cho vay các tổ chức kinh tế, cả nhân trong nước",13.412.518,14.046.267,13412518.0,14046267.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giả,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giả,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giả,257.426,56.533,257426.0,56533.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",1.155,2.644,1155.0,2644.0
Tổng cộng,Tổng cộng,Tổng cộng,13.671.099,14.105.444,13671099.0,14105444.0
6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,,
,,,31/12/2018,31/12/2017,,
Nợ đủ tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,13.188.643,13.071.423,13188643.0,13071423.0
Nợ cần chú ý,6.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,181.504,613.695,181504.0,613695.0
Nợ dưới tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,33.711,25.564,33711.0,25564.0
Nợ nghi ngờ,6.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,48.994,76.918,48994.0,76918.0
Nợ có khả năng mất vốn,6.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,218.247,317.844,218247.0,317844.0
