row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017,numeric__Năm 2018,numeric__Năm 2017
Thu phi dịch vụ,Thu phi dịch vụ,Thu phi dịch vụ,64.649,58.683,64649.0,58683.0
Thu dịch vụ thanh toán,Thu dịch vụ thanh toán,Thu dịch vụ thanh toán,28.990,29.095,28990.0,29095.0
Thu dịch vụ ngân quỹ,Thu dịch vụ ngân quỹ,Thu dịch vụ ngân quỹ,773,737,773.0,737.0
Thu khác về dịch vụ,Thu khác về dịch vụ,Thu khác về dịch vụ,34.886,28.851,34886.0,28851.0
Chi phi từ hoạt động dịch vụ,Chi phi từ hoạt động dịch vụ,Chi phi từ hoạt động dịch vụ,21.675,20.752,21675.0,20752.0
Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,8.247,7.472,8247.0,7472.0
Chi phi bưu phí và mạng viễn thông,Chi phi bưu phí và mạng viễn thông,Chi phi bưu phí và mạng viễn thông,11.059,11.020,11059.0,11020.0
Chi về dịch vụ ngân quỹ,Chi về dịch vụ ngân quỹ,Chi về dịch vụ ngân quỹ,1.864,1.893,1864.0,1893.0
Chi khác về dịch vụ,Chi khác về dịch vụ,Chi khác về dịch vụ,505,367,505.0,367.0
Lãi/lỗ thuần từ hoạt động dịch vụ,Lãi/lỗ thuần từ hoạt động dịch vụ,Lãi/lỗ thuần từ hoạt động dịch vụ,42.974,37.931,42974.0,37931.0
