row_label_raw,row_label_full,3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác_1,3. Tiền gửi và cho vay các TCTD khác_2,numeric__3. Tiền gửi và cho vay các TCTD khác_1,numeric__3. Tiền gửi và cho vay các TCTD khác_2
,,,31/12/2018,31/12/2017,,
3.1. Tiền gửi tại các TCTD khác,3.1. Tiền gửi tại các TCTD khác,3.1. Tiền gửi tại các TCTD khác,3.1. Tiền gửi tại các TCTD khác,3.1. Tiền gửi tại các TCTD khác,,
Tiền gửi không kỳ hạn,3.1. Tiền gửi tại các TCTD khác > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,1.107.773,1.320.720,1107773.0,1320720.0
Bảng VND,3.1. Tiền gửi tại các TCTD khác > Bảng VND,Bảng VND,1.671,2.382,1671.0,2382.0
Bảng ngoại hối,3.1. Tiền gửi tại các TCTD khác > Bảng ngoại hối,Bảng ngoại hối,1.106.102,1.318.338,1106102.0,1318338.0
Tiền gửi có kỳ hạn,3.1. Tiền gửi tại các TCTD khác > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,1.167.450,1.685.875,1167450.0,1685875.0
Bảng VND,3.1. Tiền gửi tại các TCTD khác > Bảng VND,Bảng VND,819.000,1.349.500,819000.0,1349500.0
Bảng ngoại hối,3.1. Tiền gửi tại các TCTD khác > Bảng ngoại hối,Bảng ngoại hối,348.450,336.375,348450.0,336375.0
Cộng,3.1. Tiền gửi tại các TCTD khác > Cộng,Cộng,2.275.223,3.006.595,2275223.0,3006595.0
3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,,
Cho vay ngắn hạn,3.2. Cho vay các tổ chức tin dụng khác > Cho vay ngắn hạn,Cho vay ngắn hạn,100.000,25.000,100000.0,25000.0
Bảng VND,3.2. Cho vay các tổ chức tin dụng khác > Bảng VND,Bảng VND,100.000,25.000,100000.0,25000.0
Cộng,3.2. Cho vay các tổ chức tin dụng khác > Cộng,Cộng,100.000,25.000,100000.0,25000.0
Tổng cộng,3.2. Cho vay các tổ chức tin dụng khác > Tổng cộng,Tổng cộng,2.375.223,3.031.595,2375223.0,3031595.0
