row_label_raw,row_label_full,Chỉ tiêu,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền một, vàng bạc, đá quỹ","Tiền một, vàng bạc, đá quỹ","Tiền một, vàng bạc, đá quỹ",156.001,,-,-,-,-,-,156.001,156001.0,,,,,,,156001.0
Tiền gửi tại ngăn hàng Nhà nước,Tiền gửi tại ngăn hàng Nhà nước,Tiền gửi tại ngăn hàng Nhà nước,-,844.551,-,-,-,-,-,844.551,,844551.0,,,,,,844551.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,1.575.773,799.450,,,-,-,2.375.223,,1575773.0,799450.0,,,,,2375223.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),,274.594,226.065,421.613,6.182.254,4.034.048,2.532.525,13.671.099,,274594.0,226065.0,421613.0,6182254.0,4034048.0,2532525.0,13671099.0
Chủng khoản đầu tư (*),Chủng khoản đầu tư (*),Chủng khoản đầu tư (*),,-,-,-,-,2.064.349,-,2.064.349,,,,,,2064349.0,,2064349.0
"Gộp vốn, đầu tư đải hạn (*)","Gộp vốn, đầu tư đải hạn (*)","Gộp vốn, đầu tư đải hạn (*)",-,-,-,-,-,-,738.158,738.158,,,,,,,738158.0,738158.0
Tải sản cố định và Bắt động sản đầu tư,Tải sản cố định và Bắt động sản đầu tư,Tải sản cố định và Bắt động sản đầu tư,-,-,-,-,-,-,1.132.198,1.132.198,,,,,,,1132198.0,1132198.0
Tải sản Có khác (*),Tải sản Có khác (*),Tải sản Có khác (*),366.967,-,-,-,-,-,-,366.967,366967.0,,,,,,,366967.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,522.968,2.694.918,1.025.515,421.613,6.182.254,6.098.397,4.402.881,21.348.546,522968.0,2694918.0,1025515.0,421613.0,6182254.0,6098397.0,4402881.0,21348546.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,,843.627,1.112.546,-,-,-,-,1.956.173,,843627.0,1112546.0,,,,,1956173.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,5.583.244,2.443.207,2.193.983,83.273,4.985.685,,15.289.392,,5583244.0,2443207.0,2193983.0,83273.0,4985685.0,,15289392.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,,302.978,-,-,,-,-,302.978,,302978.0,,,,,,302978.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,6.729.849,3.555.753,2.193.983,83.273,4.985.685,-,17.548.543,,6729849.0,3555753.0,2193983.0,83273.0,4985685.0,,17548543.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,522.968,(4.034.931),(2.530.238),(1.772.370),6.098.981,1.112.712,4.402.881,3.800.003,522968.0,-4034931.0,-2530238.0,-1772370.0,6098981.0,1112712.0,4402881.0,3800003.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),(239.384),-,-,-,-,-,-,(239.384),-239384.0,,,,,,,-239384.0
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",283.584,(4.034.931),(2.530.238),(1.772.370),6.098.981,1.112.712,4.402.881,3.560.619,283584.0,-4034931.0,-2530238.0,-1772370.0,6098981.0,1112712.0,4402881.0,3560619.0
