row_label_raw,row_label_full,Ông Phạm Văn Thông > Ông Vũ Quang Lâm,Chủ tịch > Thành viên,Miễn nhiệm từ ngày 19/06/2018 > Đảm nhiệm công việc Chủ tịch từ ngày 19/06/2018,numeric__Chủ tịch > Thành viên,numeric__Miễn nhiệm từ ngày 19/06/2018 > Đảm nhiệm công việc Chủ tịch từ ngày 19/06/2018
Ông Trần Thế Truyền,Ông Trần Thế Truyền,Ông Trần Thế Truyền,Thành viên,,,
Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Thành viên,,,
Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Thành viên,,,
Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Thành viên,Miễn nhiệm từ ngày 26/11/2018,,
