row_label_raw,row_label_full,Ông Vũ Quang LâmBà Võ Thị Nguyệt Minh,Tổng Giám đốcPhó Tổng giám đốc thường trực,Miễn nhiệm tử ngày 19/06/2018Đảm nhiệm công việc Tổng Giám Đốc tử ngày 19/06/2018,numeric__Tổng Giám đốcPhó Tổng giám đốc thường trực,numeric__Miễn nhiệm tử ngày 19/06/2018Đảm nhiệm công việc Tổng Giám Đốc tử ngày 19/06/2018
Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Phó Tổng giám đốc,,,
Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Phó Tổng giám đốc,Miễn nhiệm tử ngày 16/09/2018,,
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Phó Tổng giám đốc,,,
Bà Đỗ Thị Loan Anh,Bà Đỗ Thị Loan Anh,Bà Đỗ Thị Loan Anh,Kế toán trường,,,
