row_label_raw,row_label_full,Chỉ tiêu,Không ảnh hưởng kỳ hạn,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Từ 1 - 5 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Không ảnh hưởng kỳ hạn,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Từ 1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ",156.001,-,-,-,-,-,156.001,156001.0,,,,,,156001.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,844.551,-,-,-,-,844.551,,844551.0,,,,,844551.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,2.042.073,333.150,,-,-,2.375.223,,2042073.0,333150.0,,,,2375223.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),-,904.608,1.542.662,7.560.696,2.099.882,1.563.251,13.671.099,,904608.0,1542662.0,7560696.0,2099882.0,1563251.0,13671099.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,2.064.349,-,2.064.349,,,,,2064349.0,,2064349.0
"Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,738.158,738.158,,,,,,738158.0,738158.0
Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,-,1.132.198,1.132.198,,,,,,1132198.0,1132198.0
Tải sản Có khác (*),Tải sản Có khác (*),Tải sản Có khác (*),966.967,-,-,-,-,-,366.967,966967.0,,,,,,366967.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,522.968,3.791.232,1.875.812,7.560.696,4.164.231,3.433.607,21.348.546,522968.0,3791232.0,1875812.0,7560696.0,4164231.0,3433607.0,21348546.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,-,-,-,-,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,1.625.457,330.716,-,-,-,1.956.173,,1625457.0,330716.0,,,,1956173.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,6.752.302,3.849.314,4.415.231,272.545,,15.289.392,,6752302.0,3849314.0,4415231.0,272545.0,,15289392.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,302.978,-,-,-,-,302.978,,302978.0,,,,,302978.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,8.680.737,4.180.030,4.415.231,272.545,-,17.548.543,,8680737.0,4180030.0,4415231.0,272545.0,,17548543.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,522.968,(4.889.505),(2.304.218),3.145.465,3.891.686,3.433.607,3.800.003,522968.0,-4889505.0,-2304218.0,3145465.0,3891686.0,3433607.0,3800003.0
