row_label_raw,row_label_full,"20. Các khoản phải trả, nợ khác và dự phòng rủi ro khác","20. Các khoản phải trả, nợ khác và dự phòng rủi ro khác_1","20. Các khoản phải trả, nợ khác và dự phòng rủi ro khác_2","numeric__20. Các khoản phải trả, nợ khác và dự phòng rủi ro khác_1","numeric__20. Các khoản phải trả, nợ khác và dự phòng rủi ro khác_2"
,,,31/12/2018,31/12/2017,,
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,40.936,35.098,40936.0,35098.0
- Các khoản phải trả cho Cán bộ CNV,- Các khoản phải trả cho Cán bộ CNV,- Các khoản phải trả cho Cán bộ CNV,26.731,10.010,26731.0,10010.0
- Quỹ khen thưởng và phúc lợi phải trả,- Quỹ khen thưởng và phúc lợi phải trả,- Quỹ khen thưởng và phúc lợi phải trả,5.789,16.679,5789.0,16679.0
- Các khoản phải trả nội bộ khác,- Các khoản phải trả nội bộ khác,- Các khoản phải trả nội bộ khác,8.416,8.409,8416.0,8409.0
+ Lãi cố động phải trả,+ Lãi cố động phải trả,+ Lãi cố động phải trả,683,683,683.0,683.0
+ Khoản phải trả nội bộ khác,+ Khoản phải trả nội bộ khác,+ Khoản phải trả nội bộ khác,7.733,7.726,7733.0,7726.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,49.854,43.725,49854.0,43725.0
- Phải trả về mua sắm TSCĐ,- Phải trả về mua sắm TSCĐ,- Phải trả về mua sắm TSCĐ,870,870,870.0,870.0
- Thuế thu nhập doanh nghiệp phải nộp,- Thuế thu nhập doanh nghiệp phải nộp,- Thuế thu nhập doanh nghiệp phải nộp,9.781,13.115,9781.0,13115.0
- Chuyển tiền phải trả,- Chuyển tiền phải trả,- Chuyển tiền phải trả,3.157,2.962,3157.0,2962.0
- Thuế và các khoản phải nộp cho Nhà Nước,- Thuế và các khoản phải nộp cho Nhà Nước,- Thuế và các khoản phải nộp cho Nhà Nước,3,3,3.0,3.0
- Phải trả khác cho Nhà Nước,- Phải trả khác cho Nhà Nước,- Phải trả khác cho Nhà Nước,2.539,2.539,2539.0,2539.0
- Các khoản phải trả bên ngoài khác,- Các khoản phải trả bên ngoài khác,- Các khoản phải trả bên ngoài khác,33.504,24.236,33504.0,24236.0
Cộng,Cộng,Cộng,90.790,78.823,90790.0,78823.0
