row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số dư cuối năm
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,555,5.448,5.414,589,555.0,5448.0,5414.0,589.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,13.115,10.622,13.956,9.781,13115.0,10622.0,13956.0,9781.0
a. Thuế TNDN,a. Thuế TNDN,a. Thuế TNDN,13.115,10.002,13.336,9.781,13115.0,10002.0,13336.0,9781.0
b. Thuế TNDN nhàthầu nước ngoài,b. Thuế TNDN nhàthầu nước ngoài,b. Thuế TNDN nhàthầu nước ngoài,,620,620,,,620.0,620.0,
"3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác",221,5.235,5.395,61,221.0,5235.0,5395.0,61.0
Tổng cộng,Tổng cộng,Tổng cộng,13.891,21.305,24.765,10.431,13891.0,21305.0,24765.0,10431.0
