row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,31/12/2018,31/12/2017,numeric__Thuyết minh,numeric__31/12/2018,numeric__31/12/2017
VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,V.22,3.434.544,3.416.913,,3434544.0,3416913.0
1. Vốn của TCTD,1. Vốn của TCTD,1. Vốn của TCTD,,3.080.716,3.080.716,,3080716.0,3080716.0
a. Vốn điều lệ,a. Vốn điều lệ,a. Vốn điều lệ,,3.080.000,3.080.000,,3080000.0,3080000.0
"b. Vốn đầu tư XDCB, mua sầm tài sản cố định","b. Vốn đầu tư XDCB, mua sầm tài sản cố định","b. Vốn đầu tư XDCB, mua sầm tài sản cố định",,-,-,,,
c. Thông dư vốn cố phân,"b. Vốn đầu tư XDCB, mua sầm tài sản cố định > c. Thông dư vốn cố phân",c. Thông dư vốn cố phân,,716,716,,716.0,716.0
d. Cố phiếu quỹ,d. Cố phiếu quỹ,d. Cố phiếu quỹ,,-,-,,,
e. Cố phiếu ưu đãi,e. Cố phiếu ưu đãi,e. Cố phiếu ưu đãi,,-,-,,,
g. Vốn khác,g. Vốn khác,g. Vốn khác,,-,-,,,
2. Quỹ của TCTD,g. Vốn khác > 2. Quỹ của TCTD,2. Quỹ của TCTD,,281.216,273.027,,281216.0,273027.0
3. Chênh lệch tỷ giá hồi đoái,3. Chênh lệch tỷ giá hồi đoái,3. Chênh lệch tỷ giá hồi đoái,,-,-,,,
4. Chênh lệch đánh giá lại tài sản,4. Chênh lệch đánh giá lại tài sản,4. Chênh lệch đánh giá lại tài sản,,-,-,,,
5. Lợi nhuận chưa phân phối,4. Chênh lệch đánh giá lại tài sản > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,,72.612,63.170,,72612.0,63170.0
IX. Lợi ích của cổ đông thiểu số,IX. Lợi ích của cổ đông thiểu số,IX. Lợi ích của cổ đông thiểu số,,-,-,,,
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,IX. Lợi ích của cổ đông thiểu số > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,20.983.087,21.929.606,,20983087.0,21929606.0
