row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm) > Sử dụng dự phòng rủi ro tín dụng trong năm > Số dư cuối năm > Năm trước > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm) > Sử dụng dự phòng rủi ro tín dụng trong năm > Số dư cuối năm > Chi tiết số dư dự phòng,Dự phòng chung > 101.054 > 1.568 > 102.622 > Năm trước > 89.506 > 11.548 > 101.054 > 31/12/2018,Dự phòng cụ thể > 15.854 > 279.740 > (286.672) > 8.922 > Năm trước > 13.275 > 212.381 > (209.802) > 15.854 > 31/12/2017,numeric__Dự phòng chung > 101.054 > 1.568 > 102.622 > Năm trước > 89.506 > 11.548 > 101.054 > 31/12/2018,numeric__Dự phòng cụ thể > 15.854 > 279.740 > (286.672) > 8.922 > Năm trước > 13.275 > 212.381 > (209.802) > 15.854 > 31/12/2017
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,111.544,116.908,111544.0,116908.0
+ Dự phòng chung,+ Dự phòng chung,+ Dự phòng chung,102.622,101.054,102622.0,101054.0
+ Dự phòng cụ thể,+ Dự phòng cụ thể,+ Dự phòng cụ thể,8.922,15.854,8922.0,15854.0
Cộng,Cộng,Cộng,111.544,116.908,111544.0,116908.0
