row_label_raw,row_label_full,CHỈ TIỀU,Vốn góp chủ sở hữu,Thặng dư vốn cổ phần,Chếnh lệch tỷ giá hồi đoài,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận chưa phân phối,Tổng,numeric__Vốn góp chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chếnh lệch tỷ giá hồi đoài,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận chưa phân phối,numeric__Tổng
Số dư tại ngày 01/01/2017,Số dư tại ngày 01/01/2017,Số dư tại ngày 01/01/2017,3.080.000,716,-,41.219,8.784,202.114,181.685,3.514.518,3080000.0,716.0,,41219.0,8784.0,202114.0,181685.0,3514518.0
Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,Lợi nhuận sau thuế năm 2017,-,-,-,-,-,-,54.595,54.595,,,,,,,54595.0,54595.0
Chi cổ tức từ lợi nhuận năm 2016,Chi cổ tức từ lợi nhuận năm 2016,Chi cổ tức từ lợi nhuận năm 2016,-,-,-,-,-,-,(123.200),(123.200),,,,,,,-123200.0,-123200.0
Trich lập các quỹ từ lợi nhuận năm 2016,Trich lập các quỹ từ lợi nhuận năm 2016,Trich lập các quỹ từ lợi nhuận năm 2016,-,-,-,6.970,-,13.940,(20.910),-,,,,6970.0,,13940.0,-20910.0,
"Trich quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2016","Trich quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2016","Trich quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2016",-,-,-,-,-,-,(27.000),(27.000),,,,,,,-27000.0,-27000.0
Trich quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trich quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trich quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,-,-,-,-,-,-,(2.000),(2.000),,,,,,,-2000.0,-2000.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,3.080.000,716,-,48.189,8.784,216.054,63.170,3.416.913,3080000.0,716.0,,48189.0,8784.0,216054.0,63170.0,3416913.0
Số dư tại ngày 01/01/2018,Số dư tại ngày 01/01/2018,Số dư tại ngày 01/01/2018,3.080.000,716,-,48.189,8.784,216.054,63.170,3.416.913,3080000.0,716.0,,48189.0,8784.0,216054.0,63170.0,3416913.0
Lợi nhuận sau thuế năm 2018,Lợi nhuận sau thuế năm 2018,Lợi nhuận sau thuế năm 2018,-,-,-,-,-,-,41.631,41.631,,,,,,,41631.0,41631.0
Chi cổ tức từ lợi nhuận năm 2017,Chi cổ tức từ lợi nhuận năm 2017,Chi cổ tức từ lợi nhuận năm 2017,-,-,-,-,-,-,-,-,,,,,,,,
Trich lập các quỹ từ lợi nhuận năm 2017,Chi cổ tức từ lợi nhuận năm 2017 > Trich lập các quỹ từ lợi nhuận năm 2017,Trich lập các quỹ từ lợi nhuận năm 2017,-,-,-,2.730,-,5.459,(8.189),-,,,,2730.0,,5459.0,-8189.0,
"Trich quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017","Chi cổ tức từ lợi nhuận năm 2017 > Trich quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017","Trich quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017",-,-,-,-,-,-,(22.500),(22.500),,,,,,,-22500.0,-22500.0
Trich quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Chi cổ tức từ lợi nhuận năm 2017 > Trich quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,Trich quỹ hoạt động Hội đồng quản trị - Ban Kiểm soát,-,-,-,-,-,-,(1.500),(1.500),,,,,,,-1500.0,-1500.0
Số dư tại ngày 31/12/2018,Chi cổ tức từ lợi nhuận năm 2017 > Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,3.080.000~,716,-,50.919,8.784,221.513,72.612,3.434.544,,716.0,,50919.0,8784.0,221513.0,72612.0,3434544.0
