row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,979.283.530.000,227.419.225.906,239.374.302.694,612.589.369.824,2.058.666.428.424,979283530000.0,227419225906.0,239374302694.0,612589369824.0,2058666428424.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,791.772.265.939,791.772.265.939,,,,791772265939.0,791772265939.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,28.888.000.000,(28.888.000.000),-,,,28888000000.0,-28888000000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,(14.000.000.000),(14.000.000.000),,,,-14000000000.0,-14000000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),195.849.510.000,-,-,(293.777.863.000),(97.928.353.000),195849510000.0,,,-293777863000.0,-97928353000.0
Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),-,-,-,(235.026.608.000),(235.026.608.000),,,,-235026608000.0,-235026608000.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,1.175.133.040.000,227.419.225.906,268.262.302.694,832.669.164.763,2.503.483.733.363,1175133040000.0,227419225906.0,268262302694.0,832669164763.0,2503483733363.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.270.086.711.229,1.270.086.711.229,,,,1270086711229.0,1270086711229.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,54.210.000.000,(54.210.000.000),-,,,54210000000.0,-54210000000.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,(22.526.000.000),(22.526.000.000),,,,-22526000000.0,-22526000000.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),235.019.480.000,-,-,(352.532.784.000),(117.513.304.000),235019480000.0,,,-352532784000.0,-117513304000.0
Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),Tạm ứng cổ tức (Thuyết minh 26),-,-,-,(282.030.504.000),(282.030.504.000),,,,-282030504000.0,-282030504000.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,1.410.152.520.000,227.419.225.906,322.472.302.694,1.391.456.587.992,3.351.500.636.592,1410152520000.0,227419225906.0,322472302694.0,1391456587992.0,3351500636592.0
