row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Thiết bị và dụng cụ quản lý VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị và dụng cụ quản lý VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,672.403.632.449,2.463.648.463.367,30.357.000.837,102.305.605.282,3.268.714.701.935,672403632449.0,2463648463367.0,30357000837.0,102305605282.0,3268714701935.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,7.967.652.200,3.254.040.741,12.413.483.469,23.635.176.410,,7967652200.0,3254040741.0,12413483469.0,23635176410.0
Chuyên từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyên từ chi phí xây dựng cơ bản dở dang,Chuyên từ chi phí xây dựng cơ bản dở dang,59.391.974.126,284.050.589.694,9.938.228.194,6.258.741.818,359.639.533.832,59391974126.0,284050589694.0,9938228194.0,6258741818.0,359639533832.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.473.326.109),(10.627.456.074),-,(677.907.669),(13.778.689.852),-2473326109.0,-10627456074.0,,-677907669.0,-13778689852.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,729.322.280.466,2.745.039.249.187,43.549.269.772,120.299.922.900,3.638.210.722.325,729322280466.0,2745039249187.0,43549269772.0,120299922900.0,3638210722325.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,314.130.310.853,1.557.153.561.600,23.008.982.369,93.129.830.011,1.987.422.684.833,314130310853.0,1557153561600.0,23008982369.0,93129830011.0,1987422684833.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,73.883.438.354,173.610.819.384,9.786.018.811,5.141.329.985,262.421.606.534,73883438354.0,173610819384.0,9786018811.0,5141329985.0,262421606534.0
Sử dụng quỹ PT KHCN,Giá trị hao mòn lũy kế > Sử dụng quỹ PT KHCN,Sử dụng quỹ PT KHCN,-,16.156.828.194,-,11.757.963.469,27.914.791.663,,16156828194.0,,11757963469.0,27914791663.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.438.083.412),(10.381.052.033),-,(677.907.669),(13.497.043.114),-2438083412.0,-10381052033.0,,-677907669.0,-13497043114.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,385.575.665.795,1.736.540.157.145,32.795.001.180,109.351.215.796,2.264.262.039.916,385575665795.0,1736540157145.0,32795001180.0,109351215796.0,2264262039916.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,358.273.321.596,906.494.901.767,7.348.018.468,9.175.775.271,1.281.292.017.102,358273321596.0,906494901767.0,7348018468.0,9175775271.0,1281292017102.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,343.746.614.671,1.008.499.092.042,10.754.268.592,10.948.707.104,1.373.948.682.409,343746614671.0,1008499092042.0,10754268592.0,10948707104.0,1373948682409.0
