row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),200,,1.936.611.663.547,1.826.495.653.557,200.0,,1936611663547.0,1826495653557.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.576.594.090,182.193.179.477,210.0,,1576594090.0,182193179477.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,8,197.412.500,197.412.500,211.0,8.0,197412500.0,197412500.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,212,,1.369.181.590,1.369.181.590,212.0,,1369181590.0,1369181590.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,9,-,180.616.585.387,215.0,9.0,,180616585387.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,10.000.000,10.000.000,216.0,,10000000.0,10000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,1.662.362.256.256,1.394.923.096.647,220.0,,1662362256256.0,1394923096647.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,1.373.948.682.409,1.281.292.017.102,221.0,13.0,1373948682409.0,1281292017102.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,3.638.210.722.325,3.268.714.701.935,222.0,,3638210722325.0,3268714701935.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(2.264.262.039.916),(1.987.422.684.833),223.0,,-2264262039916.0,-1987422684833.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,14,286.337.906.999,112.978.293.891,224.0,14.0,286337906999.0,112978293891.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,441.326.173.511,187.337.494.209,225.0,,441326173511.0,187337494209.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(154.988.266.512),(74.359.200.318),226.0,,-154988266512.0,-74359200318.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,15,2.075.666.848,652.785.654,227.0,15.0,2075666848.0,652785654.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,4.191.346.125,2.411.648.125,228.0,,4191346125.0,2411648125.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(2.115.679.277),(1.758.862.471),229.0,,-2115679277.0,-1758862471.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,79.666.520.141,136.224.058.942,240.0,,79666520141.0,136224058942.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,16,79.666.520.141,136.224.058.942,242.0,16.0,79666520141.0,136224058942.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,7(b),6.000.000.000,7.527.928.800,250.0,,6000000000.0,7527928800.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,6.000.000.000,6.000.000.000,251.0,,6000000000.0,6000000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,-,1.527.928.800,253.0,,,1527928800.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,187.006.293.060,105.627.389.691,260.0,,187006293060.0,105627389691.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,17,187.006.293.060,105.627.389.691,261.0,17.0,187006293060.0,105627389691.0
TỔNG CỘNG TÀI SẢN(270 = 100 + 200),TỔNG CỘNG TÀI SẢN(270 = 100 + 200),TỔNG CỘNG TÀI SẢN(270 = 100 + 200),270,,5.919.267.953.628,4.717.903.564.810,270.0,,5919267953628.0,4717903564810.0
