row_label_raw,row_label_full,col_0,2014Theo báo cáotrước đayVND,Phân loại lạiVND,2014Đã phân loại lạiVND,numeric__2014Theo báo cáotrước đayVND,numeric__Phân loại lạiVND,numeric__2014Đã phân loại lạiVND
Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,6.661.324.309.952,(748.788.693.223),5.912.535.616.729,6661324309952.0,-748788693223.0,5912535616729.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,276.038.520.510,(267.594.137.318),8.444.383.192,276038520510.0,-267594137318.0,8444383192.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,4.473.042.029.202,(313.137.698.728),4.159.904.330.474,4473042029202.0,-313137698728.0,4159904330474.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,810.319.048.978,(168.056.857.177),642.262.191.801,810319048978.0,-168056857177.0,642262191801.0
