row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2015VND,2014VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,,
Lợi nhuận nhận được từ công ty con,Công ty TNHH MTV Thương mại Thành Phát > Lợi nhuận nhận được từ công ty con,Lợi nhuận nhận được từ công ty con,67.347.979.521,42.566.985.555,67347979521.0,42566985555.0
Cổ tức trả cho công ty con,Công ty TNHH MTV Thương mại Thành Phát > Cổ tức trả cho công ty con,Cổ tức trả cho công ty con,64.656.500.000,41.071.592.456,64656500000.0,41071592456.0
Cung cấp hàng hóa và dịch vụ,Công ty TNHH MTV Thương mại Thành Phát > Cung cấp hàng hóa và dịch vụ,Cung cấp hàng hóa và dịch vụ,683.933.752.853,637.044.208.054,683933752853.0,637044208054.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,
Tiền lương và thường,Thành viên Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,5.647.418.715,5.586.455.223,5647418715.0,5586455223.0
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,
Tiền lương và thường,Thành viên Hội đồng Quản trị > Tiền lương và thường,Tiền lương và thường,3.165.435.150,3.597.548.965,3165435150.0,3597548965.0
