row_label_raw,row_label_full,col_0,2015VND,2014VNDĐã phân loại lại,numeric__2015VND,numeric__2014VNDĐã phân loại lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
▪ Bán hàng,Doanh thu bán hàng và cung cấp dịch vụ > ▪ Bán hàng,▪ Bán hàng,7.325.573.166.437,5.828.267.169.747,7325573166437.0,5828267169747.0
▪ Cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ > ▪ Cung cấp dịch vụ,▪ Cung cấp dịch vụ,82.536.421.024,84.268.446.982,82536421024.0,84268446982.0
,,,7.408.109.587.461,5.912.535.616.729,7408109587461.0,5912535616729.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,5.815.066.476,3.999.064.146,5815066476.0,3999064146.0
▪ Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,433.144.321,1.590.868.128,433144321.0,1590868128.0
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,8.312.886.206,2.854.450.918,8312886206.0,2854450918.0
,,,14.561.097.003,8.444.383.192,14561097003.0,8444383192.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,7.393.548.490.458,5.904.091.233.537,7393548490458.0,5904091233537.0
