row_label_raw,row_label_full,col_0,Nguyên giá TSCD hữu hình VND,Hao mòn lũy kế TSCD hữu hình VND,Nợ phải thu VND,Tổng tài sản VND,Nợ phải trả VND,Chi tiêu vốn (*) VND,"Khấu hao TSCD hữu hình, vô hình và thuê tài chính VND",numeric__Nguyên giá TSCD hữu hình VND,numeric__Hao mòn lũy kế TSCD hữu hình VND,numeric__Nợ phải thu VND,numeric__Tổng tài sản VND,numeric__Nợ phải trả VND,numeric__Chi tiêu vốn (*) VND,"numeric__Khấu hao TSCD hữu hình, vô hình và thuê tài chính VND"
Nhà máy Bia Dung Quát,Nhà máy Bia Dung Quát,Nhà máy Bia Dung Quát,523.181.712.096,(346.358.488.123),494.794.606,50.125.110.890,50.125.110.890,32.806.121.228,23.625.000.000,523181712096.0,-346358488123.0,494794606.0,50125110890.0,50125110890.0,32806121228.0,23625000000.0
Xí nghiệp cơ giới,Xí nghiệp cơ giới,Xí nghiệp cơ giới,,,,,,,,,,,,,,
Nông nghiệp,Xí nghiệp cơ giới > Nông nghiệp,Nông nghiệp,71.470.746.305,(69.156.317.075),46.316.025,1.522.722.055,1.522.722.055,19.672.029.015,1.104.866.515,71470746305.0,-69156317075.0,46316025.0,1522722055.0,1522722055.0,19672029015.0,1104866515.0
Nhà máy Sửa đậu nành Việt Nam – VINASOY,Xí nghiệp cơ giới > Nhà máy Sửa đậu nành Việt Nam – VINASOY,Nhà máy Sửa đậu nành Việt Nam – VINASOY,682.693.390.932,(473.495.128.939),17.273.693.907,320.981.021.285,320.981.021.285,12.083.901.766,177.836.873.120,682693390932.0,-473495128939.0,17273693907.0,320981021285.0,320981021285.0,12083901766.0,177836873120.0
Nhà máy Đường Phố Phong,Xí nghiệp cơ giới > Nhà máy Đường Phố Phong,Nhà máy Đường Phố Phong,194.650.545.614,(154.291.314.363),32.182.483.270,2.108.629.838,2.108.629.838,10.498.127.884,8.350.000.000,194650545614.0,-154291314363.0,32182483270.0,2108629838.0,2108629838.0,10498127884.0,8350000000.0
Trung tâm môi trường và nước sạch,Xí nghiệp cơ giới > Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,27.821.032.636,(15.640.791.326),23.044.455,712.206.179,712.206.179,3.120.618.963,1.492.827.205,27821032636.0,-15640791326.0,23044455.0,712206179.0,712206179.0,3120618963.0,1492827205.0
Nhà máy đường An Khê,Xí nghiệp cơ giới > Nhà máy đường An Khê,Nhà máy đường An Khê,1.471.790.356.735,(718.209.191.958),152.738.291.127,44.146.253.268,44.146.253.268,214.806.864.491,97.000.000.000,1471790356735.0,-718209191958.0,152738291127.0,44146253268.0,44146253268.0,214806864491.0,97000000000.0
Nhà máy Bánh kẹo BISCAFUN,Xí nghiệp cơ giới > Nhà máy Bánh kẹo BISCAFUN,Nhà máy Bánh kẹo BISCAFUN,129.615.405.250,(94.192.492.765),9.809.014.086,35.637.965.153,35.637.965.153,11.351.521.408,6.200.000.000,129615405250.0,-94192492765.0,9809014086.0,35637965153.0,35637965153.0,11351521408.0,6200000000.0
Nhà máy nước khoáng Thạch Bích,Xí nghiệp cơ giới > Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,91.276.421.736,(58.604.556.605),2.118.765.769,19.130.860.266,19.130.860.266,1.629.483.971,5.000.000.000,91276421736.0,-58604556605.0,2118765769.0,19130860266.0,19130860266.0,1629483971.0,5000000000.0
Trung tâm giống mía Quảng Ngãi,Xí nghiệp cơ giới > Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,1.127.966.964,(1.069.885.961),50.747.500,19.390.192,19.390.192,197.315.712,85.776.435,1127966964.0,-1069885961.0,50747500.0,19390192.0,19390192.0,197315712.0,85776435.0
Nhà máy Nha Quảng Ngãi,Xí nghiệp cơ giới > Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,2.534.150.233,(1.757.411.078),3.475.337.641,2.491.980.563,2.491.980.563,264.538.600,97.867.843,2534150233.0,-1757411078.0,3475337641.0,2491980563.0,2491980563.0,264538600.0,97867843.0
Nhà máy Cơ khí,Xí nghiệp cơ giới > Nhà máy Cơ khí,Nhà máy Cơ khí,2.515.517.859,(2.014.016.422),299.590.551,31.090.223.404,31.090.223.404,-,187.233.356,2515517859.0,-2014016422.0,299590551.0,31090223404.0,31090223404.0,,187233356.0
Văn phòng Công ty (lò hơi và hoạt động quản lý),Xí nghiệp cơ giới > Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),70.037.455.575,(52.633.090.218),1.002.918.963.009,4.209.937.201.717,1.706.453.468.354,4.986.165.361,3.383.174.283,70037455575.0,-52633090218.0,1002918963009.0,4209937201717.0,1706453468354.0,4986165361.0,3383174283.0
Tổng cộng,Xí nghiệp cơ giới > Tổng cộng,Tổng cộng,3.268.714.701.935,(1.987.422.684.833),1.221.431.041.946,4.717.903.564.810,2.214.419.831.447,311.416.688.399,324.363.618.757,3268714701935.0,-1987422684833.0,1221431041946.0,4717903564810.0,2214419831447.0,311416688399.0,324363618757.0
