row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,34.614.411.928,10.210.389.422,6.619.023.455,51.443.824.805,34614411928.0,10210389422.0,6619023455.0,51443824805.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,130.000.000,1.324.665.473,3.136.912.727,4.591.578.200,130000000.0,1324665473.0,3136912727.0,4591578200.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(124.500.000),-,-,(124.500.000),-124500000.0,,,-124500000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,34.619.911.928,11.535.054.895,9.755.936.182,55.910.903.005,34619911928.0,11535054895.0,9755936182.0,55910903005.0
Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,Giá trị hao mònlũy kế,,,,
Số dư đầu năm,Giá trị hao mònlũy kế > Số dư đầu năm,Số dư đầu năm,33.554.907.397,9.838.498.599,4.365.021.299,47.758.427.295,33554907397.0,9838498599.0,4365021299.0,47758427295.0
Khấu hao trongnăm,Giá trị hao mònlũy kế > Khấu hao trongnăm,Khấu hao trongnăm,1.064.021.197,351.910.096,1.344.319.312,2.760.250.605,1064021197.0,351910096.0,1344319312.0,2760250605.0
Thanh lý,Giá trị hao mònlũy kế > Thanh lý,Thanh lý,(120.350.000),-,-,(120.350.000),-120350000.0,,,-120350000.0
Số dư cuối năm,Giá trị hao mònlũy kế > Số dư cuối năm,Số dư cuối năm,34.498.578.594,10.190.408.695,5.709.340.611,50.398.327.900,34498578594.0,10190408695.0,5709340611.0,50398327900.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.059.504.531,371.890.823,2.254.002.156,3.685.397.510,1059504531.0,371890823.0,2254002156.0,3685397510.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,121.333.334,1.344.646.200,4.046.595.571,5.512.575.105,121333334.0,1344646200.0,4046595571.0,5512575105.0
