row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025 VND,1/1/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__1/1/2025 VND
NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,300,,21.193.530.429.747,24.081.293.864.391,300.0,,21193530429747.0,24081293864391.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,2.676.172.794.764,2.984.456.318.736,310.0,,2676172794764.0,2984456318736.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,311,,52.428.489.527,87.687.391.693,311.0,,52428489527.0,87687391693.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,312,,58.095.609.091,-,312.0,,58095609091.0,
Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,313,,13.274.814.813,15.103.367.411,313.0,,13274814813.0,15103367411.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,314,,-,49.538.702,314.0,,,49538702.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,10(a),393.931.053.534,356.661.046.671,315.0,,393931053534.0,356661046671.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,11(a),9.053.827.799,8.253.474.259,319.0,,9053827799.0,8253474259.0
Vay và trái phiếu phát hành ngắn hạn,Vay và trái phiếu phát hành ngắn hạn,Vay và trái phiếu phát hành ngắn hạn,320,12,2.149.389.000.000,2.516.701.500.000,320.0,12.0,2149389000000.0,2516701500000.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,18.517.357.634.983,21.096.837.545.655,330.0,,18517357634983.0,21096837545655.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,10(b),-,55.061.479.450,333.0,,,55061479450.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,11(b),-,1.500.000.000.000,337.0,,,1500000000000.0
Vay và trái phiếu phát hành dài hạn,Vay và trái phiếu phát hành dài hạn,Vay và trái phiếu phát hành dài hạn,338,12,18.517.357.634.983,19.541.776.066.205,338.0,12.0,18517357634983.0,19541776066205.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,28.922.883.714.650,28.484.088.761.596,400.0,,28922883714650.0,28484088761596.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,13,28.922.883.714.650,28.484.088.761.596,410.0,13.0,28922883714650.0,28484088761596.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,14,15.204.919.270.000,15.129.280.870.000,411.0,14.0,15204919270000.0,15129280870000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,14,14.164.507.503.261,14.164.557.503.261,412.0,14.0,14164507503261.0,14164557503261.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,16,(1.695.338.182.568),(1.695.338.182.568),414.0,16.0,-1695338182568.0,-1695338182568.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.248.795.123.957,885.588.570.903,421.0,,1248795123957.0,885588570903.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,885.588.570.903,259.366.070.952,,,885588570903.0,259366070952.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,421b,,363.206.553.054,626.222.499.951,,,363206553054.0,626222499951.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,50.116.414.144.397,52.565.382.625.987,440.0,,50116414144397.0,52565382625987.0
