row_label_raw,row_label_full,col_0,Chi phí di vaytrà trướcVND,Công cụ vàdụng cụVND,TổngVND,numeric__Chi phí di vaytrà trướcVND,numeric__Công cụ vàdụng cụVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,225.778.048.600,4.476.231.500,230.254.280.100,225778048600.0,4476231500.0,230254280100.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,140.893.692.413,439.075.000,141.332.767.413,140893692413.0,439075000.0,141332767413.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(98.807.050.185),(1.788.910.530),(100.595.960.715),-98807050185.0,-1788910530.0,-100595960715.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,267.864.690.828,3.126.395.970,270.991.086.798,267864690828.0,3126395970.0,270991086798.0
