row_label_raw,row_label_full,Bảo lãnh phát hành,31/12/2025Giá trị ghi sốVND,1/1/2025Giá trị ghi sốVND,Ngàyđảo hạn,Lãi suất,numeric__31/12/2025Giá trị ghi sốVND,numeric__1/1/2025Giá trị ghi sốVND,numeric__Ngàyđảo hạn,numeric__Lãi suất
Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,Công ty Cổ phần Chứng khoán Kỹ thương,,,,
,,,,,,"9,5% trong năm đầu tiên, và 3,975% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",,,,
■ Trái phiếu khôngđảm bảo,Công ty Cổ phần Chứng khoán Kỹ thương > ■ Trái phiếu khôngđảm bảo,■ Trái phiếu khôngđảm bảo,3.000.000.000.000,3.000.000.000.000,Từ2027đến2028,"9,5% trong năm đầu tiên, và 3,975% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",3000000000000.0,3000000000000.0,,
Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,,,,
,,,,,,"4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",,,,
■ Trái phiếu khôngđảm bảo,Công ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam > ■ Trái phiếu khôngđảm bảo,■ Trái phiếu khôngđảm bảo,1.700.000.000.000,1.700.000.000.000,2027,"4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",1700000000000.0,1700000000000.0,2027.0,
Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,,,,
,,,,,,"Từ 11,45% đến 11,65% một năm trong năm đầu tiên, và 4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",,,,
■ Trái phiếu khôngđảm bảo,Công ty Cổ phần Chứng khoán MB > ■ Trái phiếu khôngđảm bảo,■ Trái phiếu khôngđảm bảo,4.000.000.000.000,4.000.000.000.000,2028,"Từ 11,45% đến 11,65% một năm trong năm đầu tiên, và 4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",4000000000000.0,4000000000000.0,2028.0,
Trái phiếu thương dài hạn theo mệnh giáChi phí phát hành trái phiếu chưa phân bổ,Trái phiếu thương dài hạn theo mệnh giáChi phí phát hành trái phiếu chưa phân bổ,Trái phiếu thương dài hạn theo mệnh giáChi phí phát hành trái phiếu chưa phân bổ,8.700.000.000.000(35.242.515.017),8.700.000.000.000(49.469.933.795),,"Từ 11,45% đến 11,65% một năm trong năm đầu tiên, và 4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",,,,
,,,8.664.757.484.983,8.650.530.066.205,,"Từ 11,45% đến 11,65% một năm trong năm đầu tiên, và 4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",8664757484983.0,8650530066205.0,,
Trong đó:Khoản đến hạn trảtrong vòng 12 tháng,Trong đó:Khoản đến hạn trảtrong vòng 12 tháng,Trong đó:Khoản đến hạn trảtrong vòng 12 tháng,-,-,,"Từ 11,45% đến 11,65% một năm trong năm đầu tiên, và 4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại.",,,,
