row_label_raw,row_label_full,Năm hết hiệu lực > 2027 > 2028 > 2029,Tình hình quyết toán > Đã quyết toán,Số lỗ được khấu trừ VND > 757.930.524.449 > 129.162.630.949 > 466.902.065.521,numeric__Tình hình quyết toán > Đã quyết toán,numeric__Số lỗ được khấu trừ VND > 757.930.524.449 > 129.162.630.949 > 466.902.065.521
2030,2030,2030,Chưa quyết toán,628.600.460.639,,628600460639.0
,,,,1.982.595.681.558,,1982595681558.0
