row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thống qua kết quả hoạt động triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thống qua kết quả hoạt động triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,numeric__Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.658.493,-,-,2.658.493,2.658.493,,,2658493.0,,,2658493.0,2658493.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,9.935.379,-,-,9.935.379,(*),,,9935379.0,,,9935379.0,
Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,Tiền gửi tại các TCTD khác và cho vay các TCTD khác – gộp,-,-,47.965.493,-,-,47.965.493,(*),,,47965493.0,,,47965493.0,
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,7.850.639,-,-,-,-,7.850.639,(*),7850639.0,,,,,7850639.0,
Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,-,439.237.983,-,-,439.237.983,(*),,,439237983.0,,,439237983.0,
Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,-,-,-,82.718.218,-,82.718.218,(*),,,,82718218.0,,82718218.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn - gộp,-,610.279,-,-,-,610.279,(*),,610279.0,,,,610279.0,
"Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,-,-,189.210,-,189.210,(*),,,,189210.0,,189210.0,
Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,1.364.283,31.386,43.155.943,2.036.013,-,46.587.625,(*),1364283.0,31386.0,43155943.0,2036013.0,,46587625.0,
,,,9.214.922,641.665,542.953.291,84.943.441,-,637.753.319,,9214922.0,641665.0,542953291.0,84943441.0,,637753319.0,
Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,-,-,-,-,1.929.233,1.929.233,(*),,,,,1929233.0,1929233.0,
"Tiền gửi và vay các TCTC, các TCTD khác","Tiền gửi và vay các TCTC, các TCTD khác","Tiền gửi và vay các TCTC, các TCTD khác",-,-,-,-,140.249.116,140.249.116,(*),,,,,140249116.0,140249116.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,303.151.417,303.151.417,(*),,,,,303151417.0,303151417.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,15.369,-,-,-,-,15.369,(*),15369.0,,,,,15369.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro",-,-,-,-,47.050,47.050,(*),,,,,47050.0,47050.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,63.699.974,63.699.974,(*),,,,,63699974.0,63699974.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,855.076,-,-,-,13.287.196,14.142.272,(*),855076.0,,,,13287196.0,14142272.0,
,,,870.445,-,-,-,522.363.986,523.234.431,,870445.0,,,,522363986.0,523234431.0,
