row_label_raw,row_label_full,col_0,Năm 2022 triệu đồng,Năm 2021 triệu đồng,numeric__Năm 2022 triệu đồng,numeric__Năm 2021 triệu đồng
"Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí",1.171,2.778,1171.0,2778.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,8.327.741,6.230.506,8327741.0,6230506.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi lương và phụ cấp,Trong đó: > Chi lương và phụ cấp,Chi lương và phụ cấp,7.616.701,5.615.916,7616701.0,5615916.0
Các khoản chi đóng góp theo lương,Trong đó: > Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,377.974,341.240,377974.0,341240.0
Chi trợ cấp,Trong đó: > Chi trợ cấp,Chi trợ cấp,185.655,148.772,185655.0,148772.0
Chi khác,Trong đó: > Chi khác,Chi khác,147.411,124.578,147411.0,124578.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,1.627.331,1.467.665,1627331.0,1467665.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Khấu hao tài sản cố định,Trong đó: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,366.377,379.228,366377.0,379228.0
Chi thuê tài sản,Trong đó: > Chi thuê tài sản,Chi thuê tài sản,807.641,748.722,807641.0,748722.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,1.571.486,1.054.780,1571486.0,1054780.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi công tác phí,Trong đó: > Chi công tác phí,Chi công tác phí,29.439,13.655,29439.0,13655.0
Chi về các hoạt động đoàn thể của TCTD,Trong đó: > Chi về các hoạt động đoàn thể của TCTD,Chi về các hoạt động đoàn thể của TCTD,20.897,1.987,20897.0,1987.0
Trích lập dự phòng rủi ro khác,Trong đó: > Trích lập dự phòng rủi ro khác,Trích lập dự phòng rủi ro khác,26.795,12.605,26795.0,12605.0
- Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 16.4),Trong đó: > - Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 16.4),- Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 16.4),26.795,12.605,26795.0,12605.0
Chi bảo hiểm tiền gửi của khách hàng,Trong đó: > Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,182.448,176.046,182448.0,176046.0
Chi phí hoạt động khác,Trong đó: > Chi phí hoạt động khác,Chi phí hoạt động khác,2.378.759,1.774.557,2378759.0,1774557.0
,,,14.115.731,10.718.937,14115731.0,10718937.0
