row_label_raw,row_label_full,col_0,Dự phòng chung triệu đồng,Dự phòng giảm giá triệu đồng,Tổng cộng triệu đồng,numeric__Dự phòng chung triệu đồng,numeric__Dự phòng giảm giá triệu đồng,numeric__Tổng cộng triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,34.120,34.120,,34120.0,34120.0
Trích lập/(Hoàn nhập) trong năm(Thuyết minh số 31),Trích lập/(Hoàn nhập) trong năm(Thuyết minh số 31),Trích lập/(Hoàn nhập) trong năm(Thuyết minh số 31),57.192,(34.120),23.072,57192.0,-34120.0,23072.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,57.192,-,57.192,57192.0,,57192.0
