row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022triệu đồng,%,Ngày 31 tháng 12năm 2021triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2022triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",3.678.961,"0,84",3.807.569,"1,07",3678961.0,0.84,3807569.0,1.07
Khai khoáng,Khai khoáng,Khai khoáng,1.327.520,"0,30",554.164,"0,16",1327520.0,0.3,554164.0,0.16
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",21.391.907,"4,88",16.652.370,"4,69",21391907.0,4.88,16652370.0,4.69
"Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí",2.302.444,"0,53",2.277.161,"0,64",2302444.0,0.53,2277161.0,0.64
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",618.115,"0,14",174.778,"0,05",618115.0,0.14,174778.0,0.05
Xây dựng,Xây dựng,Xây dựng,24.118.023,"5,50",26.492.203,"7,46",24118023.0,5.5,26492203.0,7.46
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcor khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcor khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcor khác",44.228.974,"10,09",40.136.840,"11,30",44228974.0,10.09,40136840.0,11.3
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,11.131.595,"2,54",6.107.587,"1,72",11131595.0,2.54,6107587.0,1.72
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,9.999.309,"2,28",8.895.843,"2,50",9999309.0,2.28,8895843.0,2.5
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,310.635,"0,07",339.174,"0,10",310635.0,0.07,339174.0,0.1
