row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2022 triệu đồng,%,Ngày 31 tháng 12 năm 2021 triệu đồng,%_1,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__%,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,2.588.867,"0,85",1.719.830,"0,71",2588867.0,0.85,1719830.0,0.71
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,919.889,"0,30",1.740.736,"0,72",919889.0,0.3,1740736.0,0.72
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,86.401,"0,03",101.457,"0,04",86401.0,0.03,101457.0,0.04
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,28.194.131,"9,30",30.411.250,"12,58",28194131.0,9.3,30411250.0,12.58
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,1.769.711,"0,58",4.644.930,"1,92",1769711.0,0.58,4644930.0,1.92
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,96.917.697,"31,97",84.611.437,"34,99",96917697.0,31.97,84611437.0,34.99
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,3.741,"0,00",4.558,"0,00",3741.0,0.0,4558.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,42.039,"0,01",38.041,"0,02",42039.0,0.01,38041.0,0.02
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,417.126,"0,14",446.133,"0,18",417126.0,0.14,446133.0,0.18
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,31.408,"0,01",137.984,"0,06",31408.0,0.01,137984.0,0.06
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",168.798.744,"55,70",114.643.104,"47,41",168798744.0,55.7,114643104.0,47.41
"Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội",2.981.847,"0,98",2.982.130,"1,23",2981847.0,0.98,2982130.0,1.23
Khác,Khác,Khác,399.816,"0,13",355.438,"0,14",399816.0,0.13,355438.0,0.14
,,,303.151.417,100,241.837.028,100,303151417.0,100.0,241837028.0,100.0
